Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9ed386393b0f7a13652394e2d95bf8e8df16cf9795888e8f541c344e75131727,2023-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9b442c23d9da015caf1cceac57b0e01b19630487850c218fabf242fbfe6d2e57,2023-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
93840dde97d62b71e4bdb33568405709f790b28f66deaf9c463eda9b600ae07b,2023-02,City of London Police,City of London Police,-0.090553,51.518948,On or near Moor Lane,E01000002,City of London 001B,Investigation complete; no suspect identified
38b0b4b43fa1f88c8b2c559a412b75314c4fc4fa949ff65d2a7c5fef21cfdfe6,2023-02,City of London Police,City of London Police,-0.077804,51.518083,On or near Sandy's Row,E01032739,City of London 001F,Investigation complete; no suspect identified
381abf99bb2f808a6454400dbbf7916a64abf43ea5248943dffa36dba90693e2,2023-02,City of London Police,City of London Police,-0.075401,51.511164,On or near ,E01000005,City of London 001E,Investigation complete; no suspect identified
1f46ec47196305a5d0ff1f4a206e41244f225e2c8c920f187a139dfb34b2f9bd,2023-02,City of London Police,City of London Police,-0.074925,51.514924,On or near St Botolph Street,E01000005,City of London 001E,Investigation complete; no suspect identified
1b3cf0216e9e22f4ce284bab418b13dc570207f11302c5e3a42ac757287e34f8,2023-02,City of London Police,City of London Police,-0.086019,51.513631,On or near Finch Lane,E01032739,City of London 001F,Unable to prosecute suspect
0c7031494d85a389ca03364c867046c8be0bb5434b88286f2d61377c3425f09f,2023-02,City of London Police,City of London Police,-0.102812,51.517051,On or near ,E01032740,City of London 001G,Investigation complete; no suspect identified
23ca8fecda53ccb22b9fa5dff13157ab21a2aa3e0e110679a11f0a9ec3741dd1,2023-02,City of London Police,City of London Police,-0.100201,51.513286,On or near Dean's Court,E01032739,City of London 001F,Investigation complete; no suspect identified
a84c920359e65c4956071a3c8ece109a9af7260e6f49589dcd130b8420947a60,2023-02,City of London Police,City of London Police,-0.078783,51.515383,On or near Houndsditch,E01000005,City of London 001E,Investigation complete; no suspect identified
f477f7913c2847f1c0bad1387e0f1229c1500f8eac0cb320540057bd69c0c5f0,2023-02,City of London Police,City of London Police,-0.101359,51.518700,On or near ,E01032740,City of London 001G,Investigation complete; no suspect identified
abe744186bb67cda73f5f55b5b361cc40da840defd0441e9f07237bf49abfb0a,2023-02,City of London Police,City of London Police,-0.081512,51.518692,On or near London Liverpool Street,E01032739,City of London 001F,Investigation complete; no suspect identified
5947f7f5c199db6d5884b20cba8aa4b0b477b5eda298b0c41f8fdb90115c7584,2023-02,City of London Police,City of London Police,-0.101359,51.518700,On or near ,E01032740,City of London 001G,Investigation complete; no suspect identified
fd3e8a32c994992297d5cfad84d8f8b39e1724a6f83310d60f4a7ec470b7c71c,2023-02,City of London Police,City of London Police,-0.081902,51.517296,On or near Liverpool Street,E01032739,City of London 001F,Unable to prosecute suspect
f75f41bec340f9cb87da9d04590d9b0af316ab96103e0326e8ed09ec162a7b52,2023-02,City of London Police,City of London Police,-0.079521,51.511196,On or near New London Street,E01032739,City of London 001F,Investigation complete; no suspect identified
00959f6007b7e60d2a377c39ae837a20803a9a6d52d3fcdc4ffb5a0303d3feab,2023-02,City of London Police,City of London Police,-0.112096,51.515942,On or near ,E01000914,Camden 028B,Investigation complete; no suspect identified
7b6a70570dc704b6a34f16b470d9cec596261a68b8073d36bad39bee7add4cb6,2023-02,City of London Police,City of London Police,-0.078424,51.518093,On or near Widegate Street,E01032739,City of London 001F,Investigation complete; no suspect identified
ecdec204664172f1c253989c25d7af56444b5bdae55bc33bd14c68dd3474dcad,2023-02,City of London Police,City of London Police,-0.097144,51.515062,On or near St Paul's,E01000001,City of London 001A,Action to be taken by another organisation
7647b463e50c7a03c4de77f0493ea8afaca10ef3f5854076d80958fcdc4f73c7,2023-02,City of London Police,City of London Police,-0.095764,51.512549,On or near Friday Street,E01032739,City of London 001F,Investigation complete; no suspect identified
0d7616f028ba9b260648a3ce17f7a1defe4f2297513cbed0ad9e54334cc21284,2023-02,City of London Police,City of London Police,-0.084754,51.512882,On or near Corbet Court,E01032739,City of London 001F,Investigation complete; no suspect identified
297f78f652a7bbac86892abfeee7a85ebfd3baa248213a4d14c55fa6ee0a70ba,2023-02,City of London Police,City of London Police,-0.079907,51.517785,On or near Victoria Avenue,E01032739,City of London 001F,Unable to prosecute suspect
93075c7c8f2ce2d7f2c9b5f7847e4930e3a87d1d848885846055304ba475c666,2023-02,City of London Police,City of London Police,-0.097103,51.518461,On or near Aldersgate Street,E01000001,City of London 001A,Unable to prosecute suspect
ab06d6cf02d88c1e12a169f294ad1ca4af5c8ea5468241bd2b8304559849edd7,2023-02,City of London Police,City of London Police,-0.092531,51.512658,On or near Queen Street,E01032739,City of London 001F,Investigation complete; no suspect identified
880443ccace454812602b0ef6561485ab752a1799f0a16b0dceab900e6a49532,2023-02,City of London Police,City of London Police,-0.077563,51.517656,On or near Sandy's Row,E01032739,City of London 001F,Investigation complete; no suspect identified
c838eea9686eb467a4b60214ee00b57bd778933e0ceb4d44562ed6d0ea9f0464,2023-02,City of London Police,City of London Police,-0.081512,51.518692,On or near London Liverpool Street,E01032739,City of London 001F,Investigation complete; no suspect identified
6c4a0cc5dafe37667a5970e53d70db86b0f6b6606f1de6ef62b9c8d9427f5194,2023-02,City of London Police,City of London Police,-0.094900,51.513209,On or near Bread Street,E01032739,City of London 001F,Unable to prosecute suspect
47da194d05e4ee8c6f894336d7f5299cdf758a49f78348bb0f389de5488f9304,2023-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
57a746a6f7afd3f2d49abc50068c1cd2dced1fcce3904bfbbe8466c52a1c5f92,2023-02,City of London Police,City of London Police,-0.082993,51.516360,On or near Wormwood Street,E01032739,City of London 001F,Investigation complete; no suspect identified
0304d332e5efde63bd2c6357b99fb7c783cd5f722ef8cbc412b736c8a49c4498,2023-02,City of London Police,City of London Police,-0.088456,51.514975,On or near Tokenhouse Yard,E01032739,City of London 001F,Investigation complete; no suspect identified
eadcd6119b0b09eeecac2a35c96263a38fca91dffe5c472378ddffba97a823c2,2023-02,City of London Police,City of London Police,-0.080769,51.520236,On or near ,E01032739,City of London 001F,Investigation complete; no suspect identified
3238ff1fbd7abc3891773293bd0f5cb622a8515c36dc98479fe17d41e28a7de1,2023-02,City of London Police,City of London Police,-0.077597,51.518907,On or near Steward Street,E01004307,Tower Hamlets 015B,Investigation complete; no suspect identified
2b1e37d73502130006e92eea7da65a9c4770e085913a127440f1ab13b12bfe9e,2023-02,City of London Police,City of London Police,-0.109164,51.517846,On or near Holborn,E01032740,City of London 001G,Formal action is not in the public interest
39b7a17c4a670a59ec133c217da73dfd1825946ae1833b070a4ee059e4850cad,2023-02,City of London Police,City of London Police,-0.078757,51.520455,On or near Spital Square,E01004307,Tower Hamlets 015B,Investigation complete; no suspect identified
9d593fa53f983e375eabeea405fb1b3cd2ea2a29b92cd5fe91722ab0e2bd7742,2023-02,City of London Police,City of London Police,-0.104276,51.513712,On or near A201,E01032739,City of London 001F,Investigation complete; no suspect identified
ce4969f491cca8cddf2820f52475ae8315d0a246cac89175c65f730d2a46bd0c,2023-02,City of London Police,City of London Police,-0.078059,51.509967,On or near Trinity Square,E01032739,City of London 001F,Unable to prosecute suspect
cd2b36893b8b0cdb1e56a2e62131d6cf02e13588b47152a4bbbfaf3a2fb0a66f,2023-02,City of London Police,City of London Police,,,No location,,,Action to be taken by another organisation
bf329ca5a00d469e26ea7deb94d3926e468c048c04bad78c66e319d4b23dee02,2023-02,City of London Police,City of London Police,-0.081813,51.520783,On or near Appold Street,E01033708,Hackney 027G,Investigation complete; no suspect identified
42bcf72d9b68354fc327e1a88657178c4aaa4e14bd484d55aff4567878b8ed59,2023-02,City of London Police,City of London Police,-0.092297,51.518949,On or near ,E01000002,City of London 001B,Investigation complete; no suspect identified
