Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
eeedcedaeb15379b654dd9befded1155c7d541c6e9267bca1aaf963502e4cc9f,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
8b087c8ac3331a72a126e5d49de0ee69dc84d9aa539311c43c9932228f3d2bf1,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
cf35a1b816bb0c7134786ce319ac9ecb7ebda1bfed8e6c008cd9198205b8021c,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
b419f427ab431c86ea4eb219542f48f90c06c0ae87dc69283e44151aca347b31,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
4bdb60add4f43262dd5b33409cbe0924691eac3f6fcd2a492a2d4b24667f6121,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,-4.470781,50.451362,On or near Lawry Close,E01018770,Cornwall 017B,Investigation complete; no suspect identified
cf759877c41340f62f6c3efa723be335a08ed870df65ec0dc143a715a3579f05,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Action to be taken by another organisation
d7ba1f7ea9198a26ee3c1051431e259409bcc82940a92d43b04224331db45d9f,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
4c9f7302bb07453b5943bca7fbf75815c1717af7920368a22ba20498eb6e8d17,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
74a2d998882e86e4dce8f6c8811e81222485600f4e78e930121adbea66a41af6,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,-3.503727,50.724475,On or near Saxon Road,E01019989,Exeter 006B,Investigation complete; no suspect identified
48acb7f7f32ddca3bfb980612d24c71e385b0634d686212b6733d7cdfb229a8e,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Formal action is not in the public interest
3d3dc1f175aaf65bbb58b138833ddcedf723f4e4d6a535459ec53474b650ffc6,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
5e90b214346f60dbc84f938a79640a7ecfda133761a72bf351600b563dc4d493,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,-3.570021,50.434450,On or near New Street,E01015233,Torbay 014D,Unable to prosecute suspect
b3543a906cbcfc6b3ee6f7cd33f990ed160accf2a6e59ddeea5f07758169e524,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
f8ac6c29c01f592972aff86010f8a016826f3d5b8ccade2d69940ce81e6c2f1d,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
7c30cc2cdca288bbc5007104eb7bbe606647d293ea72b81696cff621faad3994,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
7e931ebb01e6945819655b37a71a175be4ca1a19a3732b19beea33bade40a13a,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
276439629e3eaefa787b19656b3b2ab634d74578902d7b68362387b20ff54507,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
75401786b2dd35f43f6a9fcad8eed6b2cdcc5e772c72f83bd30aeb5302e82f66,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
65d4ce18f4a764bf84eabd58a78934e8d01b26bf0a1c24f317377df8ae8cb16d,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
1d099906846fd4de368f449e788783d0b882cf10c2b144c586da3b1efd66de55,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
8ed9616dba14bf531bf5019cb55f8e01251953533cbaf9660c0a61be2dc0e0d7,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
bc7fc36d5d2832ea6a81b687eccbcc425633bc700387cda777dc8d5e0cefc340,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
bd64276e1e4d2b64ef5af9ebc20ab13127aa9813557349657d7c73455fecd090,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
c279cde3f1375535369c3462a8bf52d521fc27497876ba6cadbb68609db821d5,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
efc7c0c5c1726c618da4f240d7c5c719db0181132ae9153a91cca22f4ed58e9a,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,-4.060971,50.707067,On or near Parking Area,E01020314,West Devon 004A,Local resolution
7f349f7a18d32dbf63165c8afda8e73f74098d9089489343686fbaf150c71856,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,-4.467376,50.447377,On or near Parking Area,E01018772,Cornwall 017D,Unable to prosecute suspect
aead28c1c1f9b1b9a82e75587fc1dc975341d89997d7ff948dccd1aff101fe0d,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,-4.462055,50.456404,On or near Victoria Close,E01034849,Cornwall 016E,Unable to prosecute suspect
24992cfb79fcdd052cf072c6e18654261f20cba4a40d72a2f22958dc4ea89d7c,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,-4.098330,50.390681,On or near Military Road,E01015055,Plymouth 021A,Investigation complete; no suspect identified
b7e326ea59cf49316ac330085743bb65cb0eb903942194094706605d6cb1b556,2023-02,Devon & Cornwall Police,Devon & Cornwall Police,-3.534293,50.722044,On or near St Olave's Close,E01020018,Exeter 008E,Unable to prosecute suspect
