Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9a9c50e1941ef619706b388d6af9e19b53a638ac4b402d362b73a41ce0d26a20,2023-02,Gwent Police,Gwent Police,-3.197364,51.519101,On or near Jubilee Gardens,W01001773,Cardiff 012A,Unable to prosecute suspect
0775a58fb1ae0593250e9edbddc6de259a141980f0e983c906d8e5e4752f631a,2023-02,Gwent Police,Gwent Police,-3.043497,51.635835,On or near Perthy Close,W01001535,Torfaen 012D,Investigation complete; no suspect identified
19a4b65b8555ad634b3711660f1f682d49b39badfddfb2f7b25003a274509c59,2023-02,Gwent Police,Gwent Police,-3.223597,51.647035,On or near Viaduct Lane,W01001365,Caerphilly 012C,Suspect charged
6039c4210cbfed39a5ec010a27e9b9d00b783ff2fc3eca0a29343ca248cd8bf5,2023-02,Gwent Police,Gwent Police,-3.005469,51.585023,On or near Caerau Road,W01001685,Newport 014B,Investigation complete; no suspect identified
385b940220950b3bbc9636c609520ab2d44058c62867321cbeaa0ecbb7dfddd3,2023-02,Gwent Police,Gwent Police,-3.279777,51.647506,On or near Ty Du Road,W01001377,Caerphilly 013A,Investigation complete; no suspect identified
258a419a74ef34ba60eec18da8cf4d3226b3fe984b1b7ccf57c3d457e97006e8,2023-02,Gwent Police,Gwent Police,-2.946910,51.580762,On or near Broadmead Park,W01001646,Newport 015E,Unable to prosecute suspect
b4707c55147edb8510125dbdee7e9a26bc7798acb5d050c7ed9ecd72f1663a61,2023-02,Gwent Police,Gwent Police,-3.140484,51.616815,On or near Islwyn Road,W01001430,Caerphilly 015B,Suspect charged
d3ed7686b1801079354a526554f872b73ec381a54841124cfafd73e201e9f90e,2023-02,Gwent Police,Gwent Police,-2.674046,51.640327,On or near School Hill,W01001587,Monmouthshire 008C,Unable to prosecute suspect
af5da8c4df82949c8563179f37fccaeaa26e131fcba6f9fbe13534c015617716,2023-02,Gwent Police,Gwent Police,-3.211527,51.796412,On or near Parking Area,W01001442,Blaenau Gwent 001C,Unable to prosecute suspect
c3d53aec1c6a22610118351a1e3270de95b1aa67e4c0eb247ab10bfb6be92035,2023-02,Gwent Police,Gwent Police,-3.007555,51.684470,On or near Lancaster Road,W01001510,Torfaen 005A,Unable to prosecute suspect
5c0bd20ffe183542aa846f3c855e05e12f182329c4ef28c41b296b1dfb8baf94,2023-02,Gwent Police,Gwent Police,-2.987886,51.575551,On or near Parking Area,W01001659,Newport 018A,Suspect charged
9173dc4a7774d848e10534982739f19073aa283e33f1537535dbfe4c744b484a,2023-02,Gwent Police,Gwent Police,-3.223961,51.694840,On or near Pant Street,W01001326,Caerphilly 003B,Unable to prosecute suspect
965a6263e2b1b4ad24ecc2ba60a4205f641c3ee14eb8be250ec4a380900ee412,2023-02,Gwent Police,Gwent Police,-3.134840,51.729768,On or near Commercial Street,W01001436,Blaenau Gwent 008B,Investigation complete; no suspect identified
de6526cd65bea41c3aef8422624d5e7dc8402113c402763d15357bd8aaba70fc,2023-02,Gwent Police,Gwent Police,-2.721894,51.723123,On or near Kinsey Rise,W01001594,Monmouthshire 007E,Investigation complete; no suspect identified
9ea55911930ee99f9db2972da0aa5060515ee0ffbcb2e0a3499fe4af0aee050d,2023-02,Gwent Police,Gwent Police,-2.971937,51.588245,On or near Rothesay Road,W01001613,Newport 011C,Investigation complete; no suspect identified
b16b88b0fef3f75eadfee8b16832d10d5eb59810cec176a5ba44738596ea83d3,2023-02,Gwent Police,Gwent Police,-3.268671,51.594485,On or near Aberfawr Road,W01001330,Caerphilly 018A,Investigation complete; no suspect identified
9a9a2992911df06a27f4689c518fefa58fb75e33535180e90cdaa40af31dc6d4,2023-02,Gwent Police,Gwent Police,-2.811527,51.584213,On or near Bridge View,W01001591,Monmouthshire 011E,Unable to prosecute suspect
3d98a1569e12721368ab86027337c2df559b2dbf735988b1aae0dc821cd8fb63,2023-02,Gwent Police,Gwent Police,-2.995349,51.595467,On or near Salisbury Close,W01001681,Newport 006B,Unable to prosecute suspect
adfa9de06876aefde1e1697fa04b5135bce3f8f8ca64eecc51d5c053229d43c5,2023-02,Gwent Police,Gwent Police,-2.811527,51.584213,On or near Bridge View,W01001591,Monmouthshire 011E,Unable to prosecute suspect
