Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2e2220243b362c75ec13a29ee3cda04b5f923678c171eb1a06620a7b2f55b5a2,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
2db69fbdf83cbdad002b3f6cec07d28172eae04235f937b7fae3d4188b4fca6a,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
0bd6b1cd2dc5167bd1834bf43934edf0b2eeef1c231504c7d0248fb44952be3b,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
6b42ebd5a28972f55e71dd873ebeae49041e3720edfe885d98461a60b3ac0375,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
a36be981fa6ba77459eca8f28f6d0f08963404428d1fd8081d9f715e71fe7eb4,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
c15352320340bade9a61b425b88ceb9f899722a165281e3520a7d9da51e469c6,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
963e796105494cf1ce3a6b83d052194d0abd404c44a05261d616ac7b34ca006e,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
5b8fc347db0421f7664e35d2f248c32a7eda378ffa8582f8d73b1f6b295e91be,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
03717d965c9ed6091b1f07997c14fa8a8a9334838bd78c8a0a7be0c3dbca0e9e,2023-02,Norfolk Constabulary,Norfolk Constabulary,0.733809,52.416318,On or near ,E01026467,Breckland 015C,Unable to prosecute suspect
f51ff70685ba208580a5f1be54815e6078fb424fca0abc9613c312f6dc570df1,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
7d1e346c39baf588ab99fcb50b229876f13cd9e09b81eba6aa13bdc674837cc4,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ec4f7ceffa6d26bf41df5461802ea64b8ca6852cf919fe9c63e633e2f166edda,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ceb0acc533929390909d492d887f304da47850ad33f31b18313d4a40340d5456,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
aed7594b1798bc8f388d8c3ee981a4e8c4818fe046b32e3d6a3bac7c528769a1,2023-02,Norfolk Constabulary,Norfolk Constabulary,0.932670,52.529898,On or near Low Lane,E01026419,Breckland 010A,Investigation complete; no suspect identified
84da3c91707b40b141dbc9ea7f1cc3281eb0602a6792d76eed2b2965cf40064f,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
2e26e07f7d0f9ec55609aaa2796d9e3fd3f23e927724322997bd9533b403a0b5,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
8f8e9f9fc1f7ecbda80fcd08256f6e12e843771508a3297c51f8632d06fe855a,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
055d59b8dc1d60d2041ccb37aae7abaf7e3eae6c898beb5d496bc2f92b80e7e2,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ac0f1415c24a5f57dabf44ca5786cffb6976ea091b25e7c98b4d6e68bf1115ff,2023-02,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
4ce9d718b0e2916e8191fc99cf4ecdcdce69ef7ee941f2216ffb5fc75609605d,2023-02,Norfolk Constabulary,Norfolk Constabulary,1.284371,52.624809,On or near Norfolk Street,E01033434,Norwich 011G,Unable to prosecute suspect
63315b6dd8d04381a80172ad8a016d47247a91276dd44ff8f28a5c00b86c1dfd,2023-02,Norfolk Constabulary,Norfolk Constabulary,1.297366,52.635078,On or near St Saviours Lane,E01026823,Norwich 007B,Investigation complete; no suspect identified
