Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
aa32efa6c73cdb63eb7b9c1c7681e6cbbc789c827f12502ca4ad7c44776a427e,2023-03,North Yorkshire Police,North Yorkshire Police,-0.796937,54.135577,On or near Wheelgate,E01027785,Ryedale 008A,Investigation complete; no suspect identified
61946c167ac6658a756c6743efda64829d04d14b322a2212f7c3b48a2705f95b,2023-03,North Yorkshire Police,North Yorkshire Police,-0.402373,54.273356,On or near St Martin's Place,E01027852,Scarborough 010B,Investigation complete; no suspect identified
984062910968d3f67d158b54a1866516f1e593e543efd165605e1c6474d5c376,2023-03,North Yorkshire Police,North Yorkshire Police,-1.548796,53.985353,On or near Wordsworth Crescent,E01027679,Harrogate 019B,Offender given a drugs possession warning
0efcdc8508478dabce72e0f17cb0c9250b0d6f7f9425557996623271a210d623,2023-03,North Yorkshire Police,North Yorkshire Police,-1.532931,54.006243,On or near King Edward's Drive,E01027739,Harrogate 010F,Investigation complete; no suspect identified
38fad8eb2cb1170a263b150df77ede315a9da39ea6a450b727e6814bf8b61d52,2023-03,North Yorkshire Police,North Yorkshire Police,-1.537158,53.993848,On or near Parking Area,E01027656,Harrogate 019A,Investigation complete; no suspect identified
e3639c8055961269c7df39c1cdd570e523c811f6c5fa983235c9aa09c6772dd9,2023-03,North Yorkshire Police,North Yorkshire Police,-1.122964,53.948397,On or near Stuart Road,E01013443,York 018B,Investigation complete; no suspect identified
052df86959c294b83d678fce46a7e9a6b7a17faecd789eafbf37b09f47ae97d3,2023-03,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
0abfa06b00f6b1a6f03e78740dcb6acd6dfcc93154739a908a21e320f5284149,2023-03,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
98575c047f43146c8080611d729a916d57262558180eca641f124c1fa8e79706,2023-03,North Yorkshire Police,North Yorkshire Police,-1.217682,54.504016,On or near Bromley Lane,E01027626,Hambleton 002D,Unable to prosecute suspect
99f0cb46cf56dec1bb4ad96182acba353e21bc0eb55b32f7fad010a8465bf380,2023-03,North Yorkshire Police,North Yorkshire Police,,,No location,,,Local resolution
62df8cf9acd2e2877f8045b058b3a7cae4509aeb2e40760dd5ec76a4b2cede3f,2023-03,North Yorkshire Police,North Yorkshire Police,-1.125210,53.770960,On or near Fox Lane,E01027895,Selby 007E,Investigation complete; no suspect identified
3045818ecacb0aedce91882077592ad19ebf3ecdaa621638739d3c07e22a0477,2023-03,North Yorkshire Police,North Yorkshire Police,-1.085693,53.963813,On or near Bootham Row,E01013366,York 013A,Formal action is not in the public interest
50442cddf7a5c74e8762120962b25331660311570312751ac22d8212dbbe1fdf,2023-03,North Yorkshire Police,North Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
