Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8e7cb0616b2ec36911532a6a35d3f039d6d89899c3d45145578645cea46f8bef,2023-04,Dorset Police,Dorset Police,-2.214021,50.754536,On or near North Street,E01020465,Purbeck 001A,Unable to prosecute suspect
2f134d91b3bf348802e11c8bcb4abf9f966acb8a96ad14b5958197ef6e9fc2f7,2023-04,Dorset Police,Dorset Police,-1.863670,50.726084,On or near ,E01015287,Bournemouth 017D,Unable to prosecute suspect
9b1d85144f55fd762e0cc6932bc2c817153ab36912f68dd436b63c437ce5c38d,2023-04,Dorset Police,Dorset Police,-1.916438,50.737878,On or near ,E01015387,Poole 009B,Investigation complete; no suspect identified
8ed2acdd79126bbf7098365ef07aba66e7c87d5330a57db576a7060fff81bb23,2023-04,Dorset Police,Dorset Police,-1.983106,50.715640,On or near Globe Lane,E01032660,Poole 015G,Investigation complete; no suspect identified
ed98ba3d332414f07d7bd6226c463f578884078211322a8b7c9816675b533073,2023-04,Dorset Police,Dorset Police,-1.858450,50.728380,On or near Elwyn Road,E01015288,Bournemouth 021B,Investigation complete; no suspect identified
00f081288b01f9478b3c527279682aa50d233e2a21c5b90cb45995c15537f134,2023-04,Dorset Police,Dorset Police,-1.847937,50.719500,On or near ,E01015291,Bournemouth 021E,Investigation complete; no suspect identified
a70f269327cb9d5eea83ddc019286c1c9bd04b0e10e4639b0f6104cc2c6f59fb,2023-04,Dorset Police,Dorset Police,-1.888211,50.826485,On or near Mary Lane,E01020422,East Dorset 006B,Investigation complete; no suspect identified
91b329cd292229a29bf884c9eef88cbaf54cbde94a7d61d2f705396c342eb3d6,2023-04,Dorset Police,Dorset Police,-2.461489,50.609799,On or near Salisbury Road,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
dafabe2d6c003f3d1ccd220a8401c036edc25520a5f0acab1122270f18f50bae,2023-04,Dorset Police,Dorset Police,-2.930624,50.730133,On or near ,E01020533,West Dorset 005C,Investigation complete; no suspect identified
6069153626520e75e0b4f94ac417dc198a802736e1a854fb2042d4d8f7137e50,2023-04,Dorset Police,Dorset Police,-1.842283,50.754123,On or near ,E01015339,Bournemouth 008B,Investigation complete; no suspect identified
6376ce082a2eb4cde79688818ad7073f25e42c1dec1e91e850674a0927f7bc31,2023-04,Dorset Police,Dorset Police,-1.914574,50.765250,On or near Deacon Gardens,E01015304,Bournemouth 002B,Investigation complete; no suspect identified
bcbb4bd57d0a797ce05f2ce03f9448de5f473def7c36edab343f4097fe34f986,2023-04,Dorset Police,Dorset Police,-1.911212,50.758467,On or near Cunningham Place,E01015313,Bournemouth 005D,Investigation complete; no suspect identified
64b5e2e546cf62b39b3b59fa02b8fffe33b2029b4b75bf5d6f4319f7b1d3de08,2023-04,Dorset Police,Dorset Police,-1.843580,50.734844,On or near Buchanan Avenue,E01015292,Bournemouth 015A,Investigation complete; no suspect identified
a5ce589101172f838d0665b4f7efbc66baf09e5de9ea0524009728da4c0477d2,2023-04,Dorset Police,Dorset Police,-1.789074,50.745936,On or near Fairmile Road,E01020359,Christchurch 002D,Investigation complete; no suspect identified
73dcdf5237cd4850b7e46934226966397dd1eb4fa65e6b40ad2513a6dc429f17,2023-04,Dorset Police,Dorset Police,-2.464054,50.632001,On or near Rocky Knap,E01020580,Weymouth and Portland 003E,Investigation complete; no suspect identified
167f616155598923a6c040d9e8a9872c1caae42a79ee18248a1f643e7d5f1726,2023-04,Dorset Police,Dorset Police,-1.949329,50.741780,On or near ,E01015439,Poole 008B,Investigation complete; no suspect identified
45dccfa02ee1f3c814d1c01a54c6c3f2b22e2cac2b52b73e02f112edf015b112,2023-04,Dorset Police,Dorset Police,-2.304742,50.925641,On or near ,E01020458,North Dorset 004D,Investigation complete; no suspect identified
34d8511a8e13ff021b4274b21cba7dcedea0e1d516c58e9dd0fa0d1e4ae6d028,2023-04,Dorset Police,Dorset Police,-1.979776,50.717460,On or near ,E01032659,Poole 015F,Investigation complete; no suspect identified
1d6d26ced4ac1c946e1bd0138d9fefc21cb068f50ce1e63aa8defac5d4f11559,2023-04,Dorset Police,Dorset Police,-1.819784,50.773083,On or near Avon Causeway,E01020365,Christchurch 001D,Investigation complete; no suspect identified
af41901bbcf9ed09c2c5c06851dcdf471032708a6e2cef7e00a5eed8cd47513c,2023-04,Dorset Police,Dorset Police,-2.118792,50.767810,On or near East Morden Drove,E01020469,Purbeck 001B,Investigation complete; no suspect identified
5839d5b9fd37a48dd08815a8353504907022c45d9303883e9987da7503eb3595,2023-04,Dorset Police,Dorset Police,-2.756529,50.732412,On or near Chancery Lane,E01020503,West Dorset 008B,Investigation complete; no suspect identified
4cfde953fa6a670092169bdcc0b2bf7a50a3363ea86a3cf3dc778aaf6ff70f59,2023-04,Dorset Police,Dorset Police,-1.896346,50.723725,On or near Surrey Road South,E01033286,Bournemouth 023C,Investigation complete; no suspect identified
5826f2304f853c19960b1a1b0d5b212e5c97a9053b86f0def3145e4056bd7916,2023-04,Dorset Police,Dorset Police,-1.911787,50.731588,On or near Ingworth Road,E01015389,Poole 009D,Investigation complete; no suspect identified
3783470a5fe1b042a415c1af0dfb35938dd2920ce259355e644b8b422fab6896,2023-04,Dorset Police,Dorset Police,-1.846086,50.722600,On or near Boscombe Spa Road,E01015279,Bournemouth 019B,Investigation complete; no suspect identified
713fa037ea2e74709c82f9de705dce6fd26d60f367d70668906d5e5be172595d,2023-04,Dorset Police,Dorset Police,-1.882261,50.719440,On or near Terrace Road,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
c496cca5f56163ddb815dba62eb937629d6cb6e7f36fdd485077e0853a5b203a,2023-04,Dorset Police,Dorset Police,-2.453668,50.616520,On or near Derby Street,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
11a32a99116892270408a01a0169e46d0a4b22a517ac4e68e8377db8845f2512,2023-04,Dorset Police,Dorset Police,-1.818415,50.727209,On or near ,E01015274,Bournemouth 018A,Investigation complete; no suspect identified
01724f037060da198becadc66f5efb7ec557a72abaf9224666330feda15cdb85,2023-04,Dorset Police,Dorset Police,-1.911212,50.758467,On or near Cunningham Place,E01015313,Bournemouth 005D,Investigation complete; no suspect identified
bb72cddcbb9c819b52b854c2327d2e3fd113da4b3ecb6c6897facc92f43f378c,2023-04,Dorset Police,Dorset Police,-1.918825,50.750766,On or near Downey Close,E01015359,Bournemouth 005E,Investigation complete; no suspect identified
988d5d1f1e7e343848d16731cfad56a8706981539c885ebdeffc70ab9ef61d24,2023-04,Dorset Police,Dorset Police,-2.274998,51.037552,On or near High Street,E01020443,North Dorset 001A,Investigation complete; no suspect identified
67c5f6067b35c552a484b33b086430603b63fd722bda9490bc64fac9f542f8d8,2023-04,Dorset Police,Dorset Police,-1.930380,50.729712,On or near Bob Hann Close,E01015390,Poole 010A,Investigation complete; no suspect identified
302032e89adfa0b09add0c86fbbe3d31e937596caac0545a96a10f3cce6c4470,2023-04,Dorset Police,Dorset Police,-1.981002,50.718314,On or near ,E01032659,Poole 015F,Investigation complete; no suspect identified
57b06dec82cc02087adbf2ceba05315df09544d172b75256ed8b10aa532f82bb,2023-04,Dorset Police,Dorset Police,-1.816742,50.745722,On or near ,E01015319,Bournemouth 011D,Investigation complete; no suspect identified
b02adef9bff80c1cedfc37f8c2331d56ad74f2062cc996fed5201408084bc8b9,2023-04,Dorset Police,Dorset Police,-1.855085,50.731261,On or near ,E01015288,Bournemouth 021B,Investigation complete; no suspect identified
bb5c5525db5238702d35ba5451b0e7b5e40d3584a804155d91e8520867f1c09b,2023-04,Dorset Police,Dorset Police,-1.982241,50.719075,On or near Serpentinf Lane,E01032659,Poole 015F,Investigation complete; no suspect identified
e85f198899558e3c0a3605d751c54bf64ea11cde9bd3e556c9ba7c12fcebde95,2023-04,Dorset Police,Dorset Police,-1.908973,50.706856,On or near ,E01015405,Poole 018D,Investigation complete; no suspect identified
f85abb872ce52ef41e33e4ad57b32a00bf879e70905953a674a0ad3b574e0cc3,2023-04,Dorset Police,Dorset Police,-1.946716,50.717671,On or near South Western Crescent,E01015455,Poole 017D,Investigation complete; no suspect identified
20a2ceecb34b4b92b0e0929d48a2203cbd58d4fc9939475de1455ba8451997b8,2023-04,Dorset Police,Dorset Police,-2.439095,50.713483,On or near Alexandra Terrace,E01032644,West Dorset 009H,Investigation complete; no suspect identified
a7e2f05494f395eb35a35890223c0df747014730d0f867364e7b08299fae6bbe,2023-04,Dorset Police,Dorset Police,-1.888870,50.812133,On or near Everglades Close,E01020390,East Dorset 008A,Investigation complete; no suspect identified
c99df6a3aac83e7ef77db63c9fcfdc5aeb69114985ad8b4ceb4c5d8da83d3218,2023-04,Dorset Police,Dorset Police,-1.880922,50.733575,On or near Dunbar Road,E01015345,Bournemouth 013C,Investigation complete; no suspect identified
6ed7bd3a6d8447c0981d2596f4054749b53778b7e4ad0f0deed0f9895b3c615b,2023-04,Dorset Police,Dorset Police,-2.439095,50.713483,On or near Alexandra Terrace,E01032644,West Dorset 009H,Investigation complete; no suspect identified
7f7030d6736eeb6a9eb860e3b6fb809536ad0ebf91cc5d0256f5d5731c72aafa,2023-04,Dorset Police,Dorset Police,-1.850128,50.729979,On or near Windham Road,E01015293,Bournemouth 015B,Investigation complete; no suspect identified
a17b308c1d5e135c513f618240ff92342da77c5683c474c40084374da1c20d17,2023-04,Dorset Police,Dorset Police,-1.994562,50.744966,On or near Technology Road,E01015421,Poole 006E,Investigation complete; no suspect identified
821776ad96b3821c2a93ef1f12e1977a1327aec1e9c9b7d764f0cf73e8eb4590,2023-04,Dorset Police,Dorset Police,-1.842187,50.748970,On or near Bradpole Road,E01015340,Bournemouth 008C,Investigation complete; no suspect identified
e9c7450de646fba718ca478f118ab84df5c4418106192943ad2e0e6a9bce1e32,2023-04,Dorset Police,Dorset Police,-1.863024,50.729059,On or near Wessex Way,E01015328,Bournemouth 017E,Investigation complete; no suspect identified
