Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6a0a2d25d5391e1d7bfcff095366ea90d618b508f414a011e08c48ddcb077ca2,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
1e297b006f491083c1867de30a7e228fd368f1bf35ec28309ac1517f5924f8b1,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
bae746819d63a842c9d2e4eca44438388a82f9b9e59f372a2f06364650cac3e2,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
e965ab73c22dd9850f0a140890ffc6f482590658bce1f42d07da68e04722946f,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
7904fa34c8c2476669fd93339fba3020111fbe907208a6d93a6f062ff869e22d,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
ec1fcc00b04ed9d91c907c197ee70f59a79e4263e6d593d5ab5df401d23df076,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
73de9e06228810701fa5d42100878b1932f48ec0c0317d6f0f8d62434fab2e72,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
5bbbec8446fd446e3b4e607a7ef22a63e80d54bc0021cc20ea7a7e7523864b6a,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
af9f0ee45c813d8ebcb2dc8b3a66d31b45f2e432080fe9a028c548e9a62c412c,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
56b7d89547307b5831e92aabce0808eef8b86c6d12ec1f9c344b43a7f4108601,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
ca0cacd5e72a84e81a888c187ce675583a35909e9ca6f6f44fdfb71d950f1032,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
cb75db6470be94124a0cbccc2cff02696f8b810003ba96531cc68a6fc98bb7ac,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
9ad53f0ae57284a88ead9db900859e59a5229517fca29762db0c8b22bb82851b,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
9b3fd93828adbee412c9322e1aa2acfe80379b5ccfe9d0567813c2081e651fa0,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
bbcfce15311f28959d1c0dc4440d716b120f941ddd94f94849f47d01815194c5,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
0bc0a48a721291d6e50ea8e4478abb91ae79e5a7d0810836820baaf5c5cef501,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
a53ec93ee157f927aabf8c4de26f77f4beb2189246a838738fed058b4947a9f4,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
938b3816b0969851f5facd03926f9717f59f13ee875598ab061eb345a6ae5a17,2023-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
