Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8119adf561af00fe0675a2e2b91d0777e585dd95fdca6569843b25fe5531d69c,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a58e849ec3b2350c15e7826e12079df20c8a6aaa39537cd3d0c28f44c233c757,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
bb79e11a717035bd993aa6e61c8f493111c5fb7c50e1a723a48b1f8cbaa6c28b,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a65cc6014af0b5ec7492d7567c3c9236d20f5fa380fb2a7173f001787875746d,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
b01bf53b4156a291ec2a6dddeac3c296e80ec30e5d5d0e2f5ff08db5e21fec24,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0346a403d8ed38a79ca20123c9a86105ca59555c2dc18476c7493e13dc491ca7,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
30aa71063a9a97b9f5fc6e42ddceff34ce0ea500daf31acd4f21c31d7e1f055b,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c2832746b5778189769681ea8d7bd346e9ccf28e4eb932132f65945fcb30b3fb,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f9c170d0ed671bb5493c9950c3ef08ade1745aaaff2661d74c172bc853a12548,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
32e61079228c2f1335dd4ce266ae9b6dc4d9cd5c75f42b307f9eb3aa70538d26,2023-05,Metropolitan Police Service,Metropolitan Police Service,0.040695,51.446549,On or near The Vista,E01001653,Greenwich 029A,Investigation complete; no suspect identified
5289d8080bc684846bd4a8da76dc28af0c873ec0b6af945c0a04e245da75603c,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e0aaf82e44cdd27834e6380420fcbfccbe5c76c04307628c3522f32f8e28d62f,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
01acc524b8f1efd0fbc74dfeae10f846c174cd2f8964902c61969774d427f973,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9378e21d981ac1f16634deb77ad73e2a263133311291bf038c108a253d8ee12a,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
620cb92850028094fc0af2875c2c9c6d6817cfc26b5c8a3c13411ae925599f77,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b18337972b9b2a568e3ef4b9dd7421e523b29b5023db038eb757452d0406ceaf,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1829835e057740e9daef47cb84fb9930a53064d781f667df55e8744392a39ba0,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
13d22bf96ddd9ed9a2e7e2f309a128a54cdbcd6ba598cc397266b3069a854f10,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
dff9d67c66b21fd4d1f5fa429e819cf3e55ebc0ea181e83a078562be9ec8918c,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b7532fd9138ad6fb314d09708dbd4557c206e64f11e036157dd978021432e3cd,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c503451960b07a6b4a947f5969fb3c247a5d120d15935ea5c3fefebdeedabeac,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b6d706e263b1752b81a46e45279470425b0944c0806ad872c96697b3100adcd8,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5cdd368904249b2d5d8bd7f419357048133c9a61e27e1d18af4ff08081b4db1d,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
40bacd7553b46cf4aaa144150c60cbcf72758d75897734cc8f237be7ca21bcdd,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e96cb79cc30fbe6a13d511f788b0f8957fbbb68ec7b82cd28b790bc8845ee7d3,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3550da6d60b3ea0d267e621fe5ea7a8fa9f6dd02e7a6b3b8df808df4a6943c3e,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
488a2625a6624b0cc3d8d13e710cddf8a5cd77c916f9b7719c494c3e23d95645,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8a4a0795c7f46a1cc1ae677a24258935c26e37385afe6ac3c6d8d253c58cba66,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8a24c9ce537fe545c73763a6006ce17346bbb82d09030351167ccf564bd35966,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0be795fbcb513a04370cd72f2e49ba85b04b7fb140e6549c9f109a9380b41ebe,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
34d0597acde8ee2a87688e1cef562a7f36dbf223134d39966871303371a47fde,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5a8717c1cbea07260a69973ca920590c295cebd75b439c6911f3938650d5b1c1,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1a5cb7e2122d61c432775da9b1db3ac15612bdb8079e85c0cca52615f03f5ac1,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7ea9e38e5a292db918e87ef0611a4355cd67d0ce407d9e21b90804d1f8d540f8,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
45ea9dc54b3e5979199bd902ed212782714c24ff65e2177c20775e095a7720d5,2023-05,Metropolitan Police Service,Metropolitan Police Service,-0.136771,51.420170,On or near Estreham Road,E01003114,Lambeth 032B,Investigation complete; no suspect identified
adc9f577b62888359a757de8050cfd628744f8e058a8d8f43cd7fa55cfe15dcf,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1ada714f03a12d9967e261624aabce164516058326ab055dc20a04797ce64f91,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
38c94b6ed81fa9fca8e9b546559626281b69a34b6e8b97a95fa852a18ee8b122,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b047633433046a8352477d8c66fb5993d13190870a32e9df2f3b5d814dd876cb,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
