Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
55fccbf5069972fe368fdfb588dab4447f68101ec2e0da15a9d094028bbb8c07,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Suspect charged
35f23b6831139be95b67c59db02b5333ef8ec880359de2fc2f7363b68e419d5d,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
53d2c519d0aeba099ba51e98cb41ac5d1c6d743a7d893679c7b7e8ecafec9b78,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
ab67faf83141a8ee850dc2096c34bb4753a58a19ab042a543482a466ea13cc24,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
d63cf8467e2c2d2c83e54c518f48c98cf71385a3eae7a8ac23cbf26fd859c69d,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
d6211ce2ed1adab92478074b9330419ab5d38fbe0440630eacb94178e8172113,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
4c4c13f560cc9b3f2d999e57d6c894d94fdfb76e2b29a4ccc7133beacc6cc3ca,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
788463c4491813a84cc608458d2b99bf542c1767bf989039a48b840537eaa4c3,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
36f9de624da61173bebefeeebd955617ab81639fd737482b168ff8c95c06eb80,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
7d9248f27750b02efd49851361473f0b1e250e59d525f4d191e919722e3f9b78,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
52fa89b27f96312cb6930835fb358f6dc5741fd607538d9033babde8f6147b68,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
5ebe823f875d7c0b40a7f1d1b00ba9688f32eaf4e970f72079f148b88ccf3f3d,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
1c1fceb7c839af305ac1c14cce3883685f270afde7ecef5143d025f7995ff725,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.139130,53.322780,On or near Shorelark Way,E01028059,Bassetlaw 009D,Investigation complete; no suspect identified
f97c450fd6e435656e3ade483e8fe0c7e03e238b762e81319719c35fa325c73d,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
05a01c167e0bd991635c526d7bb1ab098730bed8dbb4dfa68ff8d4c99c15b6a2,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
dcbb0afc9b3403f9474bd8a914a50128fb764ade02edf7950c1848bdcbacb641,2023-05,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
eb1f7a4e23197a6cb13c17ca69f3940a8cf3a4b3d758b0d2c6f5f37f36d8e4d7,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.143875,52.963227,On or near St Cecilia Gardens,E01013958,Nottingham 023C,Investigation complete; no suspect identified
743739f037f2dd29be8c6193cbae6e68e42efa29259c04a3debbad2df9193f02,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.164947,52.976870,On or near Ford Street North,E01013840,Nottingham 012D,Unable to prosecute suspect
03d2be4f1028477938ee85d4018e55dfece633fde4b51f6bb49760feec66f5d2,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.154496,52.974369,On or near Sherbrooke Road,E01013972,Nottingham 015E,Suspect charged
8fdc35ba4f739c6e49c401172a1f92339364b6cfc44279c091a379bbb748a941,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.215508,52.935737,On or near Boundary Road,E01028077,Broxtowe 009B,Unable to prosecute suspect
d34716e62fcdf4f79694de536e3b9edba092f126d9d82e6d73d416f4e38df89a,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.164766,52.994003,On or near Blackburn Way,E01033397,Nottingham 006F,Unable to prosecute suspect
90257c6d18bffdcac44142f545f44ca4d6153193150420895a102d5ca528aeda,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.164766,52.994003,On or near Blackburn Way,E01033397,Nottingham 006F,Unable to prosecute suspect
9be43ee51328df11a732ef93f094a8805d2ec704832df26ab7c916e09e92c553,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.419064,53.235103,On or near Kariba Close,E01019585,Chesterfield 012G,Local resolution
0a8bb2e7e458c3062717a8bd330c60b71d8841d1e0b56bf3aeb27d289bfdf499,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.110485,53.306893,On or near High Hoe Drive,E01028068,Bassetlaw 012D,Unable to prosecute suspect
e6a27af57a0dce231eac78d63c45e20db88507019002e874ad1d79abee4d4b35,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.419064,53.235103,On or near Kariba Close,E01019585,Chesterfield 012G,Local resolution
59b4e6eb17caf51945a682f833593ac583e4d3978ab571c81a2cde7734473e05,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.188650,53.138491,On or near Cavendish Street,E01028269,Mansfield 008E,Unable to prosecute suspect
31ceffa400c33597d8a0068411219347770374d79d554528df9bd6f1267e9e2e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.177559,53.002883,On or near Supermarket,E01013893,Nottingham 001C,Investigation complete; no suspect identified
8a909c2acce71f6231322a239af596db8dc7de8064d4723531d6908d2d299d75,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.177828,52.960464,On or near Shopping Area,E01013944,Nottingham 026A,Formal action is not in the public interest
b3cc433c1b1f3cc9b49b226b2050f814242a1abb6ff0ca910a0c3c97ee5d83a2,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.206218,53.139113,On or near Princes Street,E01028268,Mansfield 008D,Unable to prosecute suspect
5b67077a72c73441f28d4b7d24ce54d58c4357c7a6af9f43b846840700840c26,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.206218,53.139113,On or near Princes Street,E01028268,Mansfield 008D,Unable to prosecute suspect
f890c2bcd946888ecae95b875b91e6f88c2050fd5d5509bab38e6a18afdcd3fc,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.199894,52.998172,On or near Newmarket Road,E01013877,Nottingham 005C,Unable to prosecute suspect
5583468da0ea824f9015506471d18621f05643979fa5bb264ac0686afa0917c8,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205609,52.923014,On or near Mallard Court,E01028083,Broxtowe 012D,Investigation complete; no suspect identified
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
bb0e96efa6604491d57fae90b62e44aa61ae09e0e1405d87c80af9393ef8fb3e,2023-05,Nottinghamshire Police,Nottinghamshire Police,-1.205710,53.002805,On or near Keys Close,E01013880,Nottingham 002B,Suspect charged
