Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2ba4a5f457fdf354f89d3296cf2ffca5feb82fd80dfe2463d17737261ba01bbe,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Local resolution
c4e22487def5c2aab1eea280be283e6aa28bd28802f23e8f01b54473f9105a81,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.455221,51.774411,On or near Great Palmers,E01023393,Dacorum 007A,Unable to prosecute suspect
ae05a6336359ea6e763bc4866f2f47af75e417ccedecf1a2060913b04c7a24ed,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.461162,51.736121,On or near Dell Meadow,E01033023,Dacorum 018H,Unable to prosecute suspect
aa48b6a739e8b56d35301399e4aba012d4d7cb88cb0fce761572324e34f39d30,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.402022,51.630332,On or near Sidmouth Close,E01023827,Three Rivers 008A,Unable to prosecute suspect
03d349f33e1f1399c7abf3f829359e9ababaaa62cec3125d8b72faa2cbe25c5e,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
cb7453c33a1a0cc28be65cf0b88a65c9f908bc2b6fdc816307553477cc101d54,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Local resolution
47a03947b882b9da93015a56f04480c97b25f818829f1cac2319ae8ededdd7c1,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
cd01d2770c878ba35486f99e196cebbed653bd8141e9e24ee1de61aaf31afc9f,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
3806605f9f1a12e45a493caa46be766f4ed77abe92798f3965c96b279894a08b,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
7fe65aaf13957463b3b2e4ba01585bb63449847e03c914f7f1ac286a8c355122,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
1f3bb8f95b0063dcccf17906e2be6ac64fc8acd6f8244ad1b08ea6b670b02cbd,2023-06,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
