Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6943abb915ee96c444f40696cf7ea391e2ce57731e3bd5f9bd6ba7c6f7ea70a4,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.550462,50.760819,On or near A337,E01023043,New Forest 017E,Local resolution
e870d1ff1a7ea560ca7e14cd980a186e3cf2ef8e222a2b1e75f22855817e6747,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.483034,51.221189,On or near Galahad Close,E01023156,Test Valley 002C,Investigation complete; no suspect identified
d624fccdfccd42f49d77dcc2a12e5eb496683f5ce7af8049e6f20f6274e4c680,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.435688,50.923598,On or near Newman Street,E01017211,Southampton 015C,Investigation complete; no suspect identified
9e624adb09d95beb387e13ea96dab8a8ab8583864e00a32d2c977486f09a5d39,2023-07,Hampshire Constabulary,Hampshire Constabulary,-0.974696,51.146586,On or near Parking Area,E01022577,East Hampshire 003D,Investigation complete; no suspect identified
1760a6b284f0d719646fe9c8fad7468e27202e9b84d6272a124238c9481b9617,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.315816,51.064462,On or near Jewry Street,E01023252,Winchester 007A,Investigation complete; no suspect identified
7ca928b3856ed14523a88fe6d4cd2e975a4f2db46913125d466d62d41d30a0a5,2023-07,Hampshire Constabulary,Hampshire Constabulary,-0.847908,51.267405,On or near Wickham Place,E01022864,Hart 008A,Investigation complete; no suspect identified
96cb54e82891d670eb689008410f6698b7286e840c7a357c13788296cd542ff8,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.376816,50.991569,On or near Merdon Avenue,E01022705,Eastleigh 001A,Investigation complete; no suspect identified
fdcc8ecfa56fa211c5a4be4532ff1a531c52c59395bd8531dc726e93a07e11d8,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.398781,50.898235,On or near Oxford Street,E01032751,Southampton 033D,Investigation complete; no suspect identified
2d0279e9fd6dcb5b8c06432e63150c5f5c8e4d0a13e0bf3f243f26249c21e549,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.067994,50.843465,On or near Vectis Way,E01017051,Portsmouth 002A,Investigation complete; no suspect identified
5e51441982bd8ab23842756bbcd67ed67d4949fba1898e09eb86d3fd679b0ced,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.486582,50.919525,On or near Beaumont Road,E01023077,New Forest 004B,Investigation complete; no suspect identified
189add8cc343ee354f62d4933fe57d13a0cbc8168dd981727e18cc6497d9142f,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.162229,50.816707,On or near The Nook,E01022840,Gosport 002E,Investigation complete; no suspect identified
acd502a4f3f36ae8a040244de01323e70b28c26d7f70d7f558fad78dc0bb86a5,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.079912,50.815215,On or near Supermarket,E01017111,Portsmouth 011F,Investigation complete; no suspect identified
c383d22d7b31b6e3d3106ad85d8b6881847f6caa2d1cd137150f6bb316fd0a59,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.465368,50.925950,On or near Perran Road,E01017240,Southampton 012D,Unable to prosecute suspect
a61459e00c91e6917de95c6a85502d3bc63049e729b269f9ce52c5ce8d89db75,2023-07,Hampshire Constabulary,Hampshire Constabulary,-0.980399,50.854667,On or near Parking Area,E01022957,Havant 014E,Investigation complete; no suspect identified
051efe38dd2f48c77ce23607c02d274509f3eb2b25e0979b93dac7c64de25aa9,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.201634,50.860094,On or near Dundee Close,E01022733,Fareham 003D,Investigation complete; no suspect identified
4baff15dd156ab5bea4742f1c9e2045c5ac1a8e654184c9262a7d545c9018f49,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.253012,50.877844,On or near Solent Way,E01032859,Winchester 013F,Investigation complete; no suspect identified
a64edecbdf61e85c5f165051cedfa0a3876de5652860b78802fa7d695c112c48,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.089627,51.266998,On or near Theatre/Concert Hall,E01032842,Basingstoke and Deane 011E,Investigation complete; no suspect identified
1b7c83527c64da4c1bbac5aec6c85349eb52c0d9eb5175d198a9cdc1ad2f1a29,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.423421,50.914555,On or near Shirley Road,E01017192,Southampton 021A,Investigation complete; no suspect identified
5ee17356dadbf2843798797a841df1b41cdb8866379f9c5a76e675f8a8ce2fc5,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.282909,51.364024,On or near Beech Road,E01022488,Basingstoke and Deane 003A,Investigation complete; no suspect identified
59d43a5f6ea3f0464fbd550f7e80c13dd5779d567fc80c2fc330a2485db9aefc,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.487862,50.919522,On or near Parking Area,E01023077,New Forest 004B,Unable to prosecute suspect
88d4b93cd4244be22947cab3e4e6850033dba4b2f27114592d737acb32963a41,2023-07,Hampshire Constabulary,Hampshire Constabulary,-0.754385,51.285727,On or near Kestrel Road,E01023113,Rushmoor 007A,Unable to prosecute suspect
dc3dc0dcce118f80a4564ccc364b189bc7e897cdf476a230fddb46956645b5ed,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.369027,50.975467,On or near Woodside Road,E01022675,Eastleigh 002C,Investigation complete; no suspect identified
632b2c2ea6a0f6b54c3dd13492300099f33c432fff1c0e306526d1d8839f5ce1,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.167088,50.810078,On or near Vanstone Road,E01022841,Gosport 004E,Investigation complete; no suspect identified
3576c51259948d4792afae21212be10fad873a045d0936b757931b8f187ad3b7,2023-07,Hampshire Constabulary,Hampshire Constabulary,-0.961079,51.283972,On or near Petrol Station,E01022884,Hart 006D,Investigation complete; no suspect identified
45a8152d4f6144444350e29b6d812c68fdb93f728dbdae51ab73e77f6fb113df,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.351309,50.968230,On or near Mitchell Road,E01022666,Eastleigh 007A,Investigation complete; no suspect identified
2443bf35d52a9f3c52c8ce6718ab0422b9d655f181767395ceb8d4cf71060aef,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.095475,50.852396,On or near Winchcombe Road,E01017120,Portsmouth 001E,Investigation complete; no suspect identified
2f0852ee2167ef7e97a9749e9a2010c47e2e4f0f9d70972d7942e7fcd50e40d2,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.342108,51.228063,On or near Church Street,E01022564,Basingstoke and Deane 020C,Investigation complete; no suspect identified
3061423addb121a3d94448d4528ab5c451898ac715b14b2b8ddd334acab79bea,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.500347,50.987819,On or near Parking Area,E01023151,Test Valley 011B,Unable to prosecute suspect
511e57f013520d88c813638e63555897b73ea3c74bafceb9bc1847c719894257,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.182257,50.852568,On or near West Street,E01022723,Fareham 008C,Investigation complete; no suspect identified
f75cd7a90b64190135d008f794769936b795c4b9189d6a0ef64d789860499de7,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.414975,50.912004,On or near Rollesbrook Gardens,E01017138,Southampton 023C,Investigation complete; no suspect identified
5eb51a5ae3e75b99f0bb204920978461a754f498133b4c2b72f5b11d3d7fd896,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.516824,50.779470,On or near Parking Area,E01022990,New Forest 017A,Investigation complete; no suspect identified
f3d1735773c5898217cd36e94e9db6694f2d168941ece8b178a3de056a7b10f6,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.072216,50.833229,On or near Fawley Road,E01017091,Portsmouth 007D,Investigation complete; no suspect identified
a6428c0a2af50b4f6446cbc39622d6c3f8550992e3f8350047957d055750cc71,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.330195,50.899436,On or near Killarney Close,E01017168,Southampton 027B,Investigation complete; no suspect identified
a77aca2797e17b6c6a7a4e839bea42367fccb1e9ac080ddae00f81084c78d33f,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.366086,50.925705,On or near Trent Close,E01017173,Southampton 014C,Investigation complete; no suspect identified
5c7c12ebcab040c44bb237a935872e19a67733e7ff9efea8d68e250f21fda2cf,2023-07,Hampshire Constabulary,Hampshire Constabulary,-1.405440,50.911254,On or near Waterloo Terrace,E01032738,Southampton 022F,Investigation complete; no suspect identified
