Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a1a609807925d5b430c81ea7abf5814f59d4b638b8d1e99603c3fdfa4f02e949,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
3cc611ce204a6c4bcd41f0e6ba84b4a0e28abce29c17cd7b86ba28014dd3a8c9,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
0907402f10bfe9253b6d7baa84233d8f2cdcda648292c2fdc5853256dcdc7a31,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
1912fda231b83d80c78a85a52d4a3948851d694b491cf8993482749511401ab0,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
620957c5558271dfb23e37e07fb0bf1c651ec5940ea3e7d22a5a51903bd8996c,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
f35812888cad6f0c0eb8c12916ce44907eda39d56243c2108aaf88ac4e803f42,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
277cb544436b629da45b067da66af0c0859a707baa9b00056239ffa913e9bebd,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
53901d8c2f1cfcfe863af815d71069361da2c747f4faf09bb95055daeb94e36c,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
4e68a41532d64953c9bcd3ffb49ea5afd8a69c2788e030031582fa41d6669cf4,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
3adf47af115c6f0224ba17a5c8d0e9e8ad05a6362bc3083b540b4ef63cc4e4db,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
5484f4c2155efaff78ce8dc1e17f2c50319c4e3c0a0ba27ae539ef9e89ac7974,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
1d7aa32e63d7a6c915aa8b1811379361d35be997060bc8a9cd8475f3a6ca8443,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
52bf0f04ba95e0566492b60c99da835c3a320d95b55abb3ab007393a3fcdb11e,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
68d3547ba45ef338d9a2e5ac478659ccdaf3a4db55e2599fb9bbbbc037a5536a,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
53659f4093d361ace7d95d5da9000a5f837b852ab401ac36224500e62dbc2e89,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
4fb417071f72706d0c3c6fbf0ab6020c6cac0b2a5ed0b3e232ac9ef8f4ecaf92,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
db58ce5413a2cacd06c6e6bce7a163068c1cb955ec4d7632347baeb5359f3156,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
e1aea8dbf0ba3088cce3d649ad4f05444135ad8c2ed2df7bbba2533ea35b071f,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
719ae90fdfa482e180305f07e442bb079216c0d5d426d3a62f2ef18a6f338853,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
ff58137b9a8a17cce85d5a033a651f91717fb4dab24ce21094b193f4c23fd161,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
8ee86bc7366ba749eaa869d864e895b50b6a8519bea5f59ad15fc407c2788dbc,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
d1ace92856e8039ae9e11c573368bd50b7c3abe724628bb834610575b0e1b12c,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
45bfe3f6374ab1720a496f32148d3c4be432c6da4932e8dcfe2ed5d0c45d416a,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
d416d0dab60c3d821a463eac2b9760d3d8bf1836e8ab7bc698f7491a99928a2b,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
61fba0c49faa8170b96a730e3bfc2b352405a82cd897fcfdcb3ad95b0417c4d6,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
1beea660897bf5771d5538b3cb0bc2945836ea92a4bb34c50b2b15691c42112d,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
c2e451609756dbe71db65dbae94fdad2abd24e6766515a036275c68d58d36729,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
583b92dc131f80ce0aa81ab15f11accc4c2b9b2325f04564ee2b8e8c11802a2a,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
aa17d77987d93ad39ddf3d0fe73aaf42c057dec5afa6386a8a71d4edc6a8c95c,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
dd9863dbb822296de4bb6eae6ea5d2f1031aaab4f86a352f0e2a3261716d4ca9,2023-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
