Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
baeedcdeb7665c77102a3a7739e9dbc803066727e60dc47ce8a187a196d83714,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
ac5366066f61df4322ed166e44c47b43ca73297419976cf72e28a9b72801f696,2023-09,Kent Police,Kent Police,,,No location,,,Suspect charged
3d3b925be254e1cdc05d3302a79d17ae9045ef7f4bffdd1c63846377dd8923ae,2023-09,Kent Police,Kent Police,,,No location,,,Suspect charged
9e7d7f68d1340e4389d0f342923ec86a06d1b252c8bcf576cfa6495dede2cd65,2023-09,Kent Police,Kent Police,,,No location,,,Suspect charged
bc52c372ca154246d5141fb3ce3e4168ddf97d5c8c9393f6ac0bc0084c8b15ef,2023-09,Kent Police,Kent Police,,,No location,,,Suspect charged
70447ff024faea77e976e34c534a17ea124214d5d9ae4dca8da904259a31a2fd,2023-09,Kent Police,Kent Police,1.399842,51.224300,On or near Anchor Lane,E01024228,Dover 004A,Suspect charged
70447ff024faea77e976e34c534a17ea124214d5d9ae4dca8da904259a31a2fd,2023-09,Kent Police,Kent Police,1.399842,51.224300,On or near Anchor Lane,E01024228,Dover 004A,Suspect charged
68ef483820842daf4ce683c662217a71b6701c51215ac59400357c3cad8e8e91,2023-09,Kent Police,Kent Police,0.274371,51.216525,On or near Bracken Walk,E01024776,Tonbridge and Malling 009D,Suspect charged
170e73a113a445e55e28e9f1bca87248fb0d5fd41939f3e8a187476a324a8d0e,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a9ef61acab41ecd477677e8e7e2254fc1e5e3560ba63dc9c9ef8b3765ce8fdda,2023-09,Kent Police,Kent Police,0.058196,51.196507,On or near Manor Road,E01024429,Sevenoaks 014E,Unable to prosecute suspect
c48db80c2eb964a40604d17ab4d3b687a24e16139809e0674c14eb12eb549b7f,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
5191d2001ea8430dc72a698e98c6ecaef1374548ea712ca12bd77e5889a66265,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
02d794956e43a201cfe3dc990e134d8ae1d1bde8f333c3fd230a293e500d932b,2023-09,Kent Police,Kent Police,,,No location,,,Further investigation is not in the public interest
ea117cebdfe5642b4a84dafe132892f83ddccd7ea683e54cdd6e6d23f3805f55,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
da7fbfc74c0f78d309093c44e25c1fd8fd95247af0ac5cd2034a1655ff61fd47,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
bff0879fa37f2579855f47a8ee35c7745a13346a9e6047b637f70c1b9b637168,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
086f2cfeb792812deb3f24f26223225a678bb3fd51ea1f0b2a21f54ea344b3de,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
f26d1311e3f8156eb62ae6510c06eb9b456226213b385a4ddc56428e0e7deea5,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
fca8d2a9fba0a8fcaca3cc9653a194bfbe9dfa7f0334bbf0853e2ddda8a6eeb2,2023-09,Kent Police,Kent Police,0.392597,51.434344,On or near Rose Avenue,E01024294,Gravesham 003D,Unable to prosecute suspect
6510f070dda73aded2b2a8af3b32ef48e7e3069abf30290ce230ddda7f470350,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
c4b04c78e67b2e82be0e2c7c4c1b6aa4aa9358c49ad2713b2c5d2c0a73e347a6,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
6a5c71a6fe650c6a386f394b8c470ea121b3df28067df1d61fc073caab969154,2023-09,Kent Police,Kent Police,,,No location,,,Suspect charged
20a0cebdfbd97cd0e748f80cfca0ecc182911b466b11c4ab070398b4463bb11a,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
b3161e929a8bc180294c7afc071d97b1f6a8fcc925c72cdd544c90361d4cc1b0,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
e9eca83e1af2035ff61d4e60ae671b6e3901238367b69358d176966620246f93,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
7d636509538b549d05f014f6b52f15575a9e3aefe04dde3c07e1fb70d6f5bbbb,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
01e7cd168b38ef2543f25a1c303ff17f0116460e6af8f5d800ce8a772f01a10f,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
1a55071975fa719297dc692eac878d2b77e5e596809dac3328ebd3625c08e55e,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
4de6ed9b59ebb26d3f2af44b156fef985c4c903f77aca5e313173da1579be6ab,2023-09,Kent Police,Kent Police,1.187108,51.084178,On or near Lennard Road,E01024505,Folkestone and Hythe 004E,Unable to prosecute suspect
69f4e7763288b298b4fab6263b38999299f2f792b874eeb9ab419230e7e6c762,2023-09,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
6a4cb5978adae8797cf6898560bc549746c64a92dc3e7a09ab3643479209afbc,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a735886fc5bdae9825e602110530949684d525030da6c32e798557b323da4866,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
c7fa81791871c41fa50f8dbe471953117b3719256bd3ec406716513109acae55,2023-09,Kent Police,Kent Police,,,No location,,,Suspect charged
e9d1e9043e8702eab694898ef935676f9a00572d9cde795034367e6354f35927,2023-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
