Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
47cacb7f5f6a43583841607c95dff482e568acdbfb0e8a3f44c1489c1c8eedbe,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
4711d2bc4cd545cb87d7f2d94906e9c0f882c862cb17733e7ad92aa7bb01313d,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e73b0d0918701d2cecfb49fb53379c9bbefe2e86dbe64a92542180b8c59e2f81,2023-09,Metropolitan Police Service,Metropolitan Police Service,-0.227030,51.530640,On or near Hazel Road,E01000532,Brent 033C,Investigation complete; no suspect identified
44d709db248d6c0cf3400f0d11966e5743b560ba40e0c0ef92d8214e1555f7a8,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
9ffae55ae039680bf238dd9c83b0e794880a3bdc512c823a81a938407cbfcb2a,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
80537c473f97885b07703db0c86df062f0e637bd2549e8678c03afc458fe05c4,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
745f633a66ef632cbf213f82fbadbaadafc1c322243f75ea885f433d88f581b9,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0f71aa06c72a08d85c9959b2c7cad1b67ba67faa532e0bcee831df6f5e51f683,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5e33d4d1522a3a300ff4e1b3ac121cc5af327c81d692e4b2d01e2c07f8293979,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d8e01789c0673dbeee7c7ca543e9c44fb48938eb725ea33612855ed1625751a1,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
bbff45e088b503bf20b54648c25dbd16cc1327ce06fde17f58879d43a708327a,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8041c1537643fadfc8739c0206a711ead2894b296e18a32117c939962b492770,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
194b708ac5f800e3c46e8b297d388a6ddc45a6edc109c80d897c48d8c80565c7,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5cf3d19f4f3c1338f5f829deee99b892e6f2da47d15024aa4e6229a0082f1c23,2023-09,Metropolitan Police Service,Metropolitan Police Service,0.229225,51.589125,On or near Lynross Close,E01002295,Havering 010C,Investigation complete; no suspect identified
e6303c8b695a66342d326f35ded393236d2b64a74461a1fb6e51f204c4aec590,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f0c553468dc01198de8a63b897f20fb4eed4ae666412d0b2afc924d9b6885d1a,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
02ddadcc9d25eac9766a333621fa42d38d7c8779448bd1ea76920ad12fa669e4,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e801eeed454a3ba5ae7ee13556df14fbce0e7a024527095226838608669846ae,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
67116414fa22fe8fad251506c825869d16bdd15994d8416da17b8d412ca64514,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
06430c3ac717ea2ee1c1dd64b5679cd9851d679cfdac4e7606005c17b3ade10f,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
85bee1ce6a16c7aef477710479bcabd99e25d3ea390fe69e407ab09e117113f9,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
22ff657fc873796c1783cfceec6b4f28baf5393a43101c8fa7e7afcf6399e15a,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9243c04b587f16431ffd0ddca900b1f90000052ae2a3e108049d10258bbdb06d,2023-09,Metropolitan Police Service,Metropolitan Police Service,0.178181,51.469597,On or near Doyle Close,E01000368,Bexley 010B,Suspect charged
cb989eedaea9c5bab8fa89f0812d57aa7c8c484d43ccb0e1f778c57e856f5b49,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1d26b1ce3622a2e35e53c83664f7172196b7ae1d02b1cc67d4137f2de99bed42,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f86ff4611461c35d9d140474f03b228702b943b18fe57a0ee654b03ea140c120,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
07b86a5b65dc02cb3277ee460e1eb443f974404732cce89026baf21a1f9a20ea,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c9ce0fc1098372eb477324b9592f6d72b3e2d855ed13ecfc076a712f7ba0764a,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0b22f87df68a3853b876e5959ca9860d1465ac8835db976a91efd86789b009ce,2023-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
