Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
328654fe217c0fc077a92d3dfc089dc71d7ff8483cd113ded1dd06c894d68f8f,2023-09,West Midlands Police,West Midlands Police,-2.100688,52.597749,On or near Bates Grove,E01010476,Wolverhampton 015E,Unable to prosecute suspect
f0e5325f951cac5e15907305e1202958eea90f7540b23fff3c8a51723b6234d1,2023-09,West Midlands Police,West Midlands Police,-1.882104,52.551751,On or near Streatham Grove,E01009128,Birmingham 011B,Unable to prosecute suspect
96908d88d41f70b9b89b2067f30655cd153013920eb29b659b5a7e9f34646d1a,2023-09,West Midlands Police,West Midlands Police,-1.837781,52.525143,On or near Parking Area,E01009007,Birmingham 023D,Investigation complete; no suspect identified
7ea0e2d47081cc0b7e340110f7e9d038e0a2fef5f61eaa865bea934037d71581,2023-09,West Midlands Police,West Midlands Police,-2.097880,52.622635,On or near Waterhead Close,E01010462,Wolverhampton 004C,Unable to prosecute suspect
89c8d77dc20dcdca5ffb38078b8d51650a5324a06a848437a3c230e1de20d652,2023-09,West Midlands Police,West Midlands Police,-1.669195,52.410942,On or near Kenilworth Road,E01010168,Solihull 025B,Investigation complete; no suspect identified
65db69822d8b8fb5e46d2e03407e1f8103fc65334a9b10a7d97678a10f5b6f47,2023-09,West Midlands Police,West Midlands Police,-2.026882,52.615922,On or near A4124,E01010291,Walsall 009A,Investigation complete; no suspect identified
c85380e2e5c13258d0aa25f06fd737d4af48bf9765060e734b447f9a1ff3fadb,2023-09,West Midlands Police,West Midlands Police,-2.010916,52.614468,On or near Croxstalls Place,E01010294,Walsall 008B,Investigation complete; no suspect identified
b80d4ace8a5285d1e9719f9aba5e26a509073264ce5762647d24542e946dc995,2023-09,West Midlands Police,West Midlands Police,-1.547619,52.422236,On or near Ruskin Close,E01009652,Coventry 017E,Unable to prosecute suspect
99214288064c951898980bff3aa3265e34a1988d388ec32f764c2a0b7f703ebd,2023-09,West Midlands Police,West Midlands Police,-1.971418,52.416202,On or near Parking Area,E01009497,Birmingham 109C,Investigation complete; no suspect identified
14df848c72c4dcc8317d653981daed68717870118e5c8c2fce99e3e328f9727f,2023-09,West Midlands Police,West Midlands Police,-2.149735,52.477359,On or near Sandfield Road,E01009742,Dudley 023C,Unable to prosecute suspect
9b00c55ed60741d6b64fba5482ac353d56ae2c11f82025ff51a1d0277e120c24,2023-09,West Midlands Police,West Midlands Police,-1.499703,52.428067,On or near Foleshill Road,E01009570,Coventry 015B,Unable to prosecute suspect
0cd0fbf510e1febc34ef1bb4561ed572258ee4b03cdab34579773463b032d1bc,2023-09,West Midlands Police,West Midlands Police,-2.088642,52.459270,On or near Chapelhouse Lane,E01009862,Dudley 033D,Investigation complete; no suspect identified
079f24d7fc0943b3953227c93a04a37c04e1f63c84c54bc8814280afdcea017a,2023-09,West Midlands Police,West Midlands Police,-2.084310,52.510435,On or near Court Passage,E01034309,Dudley 011F,Investigation complete; no suspect identified
54ddfb7caa6ba8f92351a106ee0f32d967027e33a8fe307bd782f47a8abbd088,2023-09,West Midlands Police,West Midlands Police,-1.849560,52.511592,On or near Oval Road,E01009400,Birmingham 031E,Investigation complete; no suspect identified
3c43a928924db15751630144da5f8116a8ff972c715dbb6e340366687d69ca51,2023-09,West Midlands Police,West Midlands Police,-1.793983,52.476250,On or near Broadstone Road,E01009514,Birmingham 062B,Investigation complete; no suspect identified
9b5f78da1d839dc9e79e1af8844a1ebbbad9435d1029659b2400c0ca87393609,2023-09,West Midlands Police,West Midlands Police,-1.827597,52.411684,On or near Richard Lewis Way,E01032590,Solihull 030D,Investigation complete; no suspect identified
b71b79ed3ccd0c239c4cf56656998c4fa7baf41516a68f460afba07e0674194d,2023-09,West Midlands Police,West Midlands Police,-2.068384,52.530349,On or near Wood Street,E01033887,Sandwell 014G,Unable to prosecute suspect
f84d01ee815bcf48fbf6e96fbc3f864eba5d9272d557942cbcef4c02e2f36a35,2023-09,West Midlands Police,West Midlands Police,-1.960059,52.555839,On or near Erica Road,E01009969,Sandwell 002A,Unable to prosecute suspect
deff9450afd3a123a0926b20f3994a80baa773ce725e06b5e2ef56f07b7934d7,2023-09,West Midlands Police,West Midlands Police,-1.860365,52.472724,On or near Holmwood Road,E01009332,Birmingham 139E,Investigation complete; no suspect identified
9e8d5ef654d8d501f09bdecc84338bbe2c99bf430f64d5472060324b1ed603ae,2023-09,West Midlands Police,West Midlands Police,-2.068384,52.530349,On or near Wood Street,E01033887,Sandwell 014G,Investigation complete; no suspect identified
8ca63f381364acdf38bb59c6f03190072423366651e7cfc91e00b5295e5fe95f,2023-09,West Midlands Police,West Midlands Police,-1.762671,52.475625,On or near Braymoor Road,E01009302,Birmingham 069A,Investigation complete; no suspect identified
95c227dc0095bd02106105ec268b779c273c4c5d6b57af742501076c4c6c9ac6,2023-09,West Midlands Police,West Midlands Police,-1.885799,52.554542,On or near Kettlehouse Road,E01009221,Birmingham 007A,Unable to prosecute suspect
bf0c3f0054f0b21a0afb3201f100df1b71c01622d0a7808a4ac084151eb1a3f7,2023-09,West Midlands Police,West Midlands Police,-2.000280,52.453325,On or near Dimmingsdale Bank,E01009259,Birmingham 094E,Unable to prosecute suspect
b238d61e7a13bc15ecaf4e7a7f7f8fa13177cd317332e8d98a4486aa6f68841c,2023-09,West Midlands Police,West Midlands Police,-2.020302,52.572608,On or near Petrol Station,E01010265,Walsall 033D,Investigation complete; no suspect identified
520d62220c65dfe2bfcf5fc9cc4868ef470493b826ce83bf2e214aa81c477691,2023-09,West Midlands Police,West Midlands Police,-2.077598,52.522801,On or near Park/Open Space,E01009757,Dudley 006C,Investigation complete; no suspect identified
02a1b68b167f7cf15e3cd909152e30b754697462445f7654f0015c8bfc1b46a0,2023-09,West Midlands Police,West Midlands Police,-1.813564,52.521817,On or near Varley Road,E01009098,Birmingham 025C,Investigation complete; no suspect identified
02e438fe7370ad0c772c24bf2fb83363c6787797580d4ff0de5099c6da893974,2023-09,West Midlands Police,West Midlands Police,-1.877262,52.458035,On or near Parking Area,E01009375,Birmingham 083B,Unable to prosecute suspect
1e4149cdc651d81f068fd2ec28223ee3b2a3935c1b563fff1580a96d2b8c4767,2023-09,West Midlands Police,West Midlands Police,-1.474270,52.409904,On or near Grenville Avenue,E01009616,Coventry 027B,Investigation complete; no suspect identified
b081effcfb73ce713d79027cff1fb5d8fca6344a5a999b31eacc5ba5a83f680d,2023-09,West Midlands Police,West Midlands Police,-1.849560,52.511592,On or near Oval Road,E01009400,Birmingham 031E,Unable to prosecute suspect
de6ff6de9b67b17c66b61fe8095c901509c9de0bcf2bedced5eea893e75012d3,2023-09,West Midlands Police,West Midlands Police,-1.784565,52.496443,On or near Lingfield Gardens,E01009307,Birmingham 045D,Investigation complete; no suspect identified
e6bd17ad73cf7d763f88434934fc3489690e487d79a3abfc0bfa4623f996b90b,2023-09,West Midlands Police,West Midlands Police,-1.823898,52.462067,On or near Forest Road,E01008883,Birmingham 078A,Investigation complete; no suspect identified
17e039dac0110c8eb8cc7713f75b0e6cec35550923299117f89efc3e8a8a7821,2023-09,West Midlands Police,West Midlands Police,-1.794642,52.439042,On or near Bablake Croft,E01010136,Solihull 012A,Investigation complete; no suspect identified
230db67ef02a8e4dc3decfd912e39b3cf66b5f44959358d28146a717df1ba452,2023-09,West Midlands Police,West Midlands Police,-2.039463,52.613104,On or near Wrighton Close,E01010397,Walsall 011B,Unable to prosecute suspect
1e280ddb481c11530ffa89d4b5edc97eea0fbb4042270fe3b6b65cebbd85b119,2023-09,West Midlands Police,West Midlands Police,-2.020302,52.572608,On or near Petrol Station,E01010265,Walsall 033D,Investigation complete; no suspect identified
87ef34929646444a76350cd72691a8166b7af2d132d55d8eb968fa818c99dbf2,2023-09,West Midlands Police,West Midlands Police,-1.967678,52.423375,On or near Hickory Way,E01009494,Birmingham 109A,Unable to prosecute suspect
410beeff542c686914ba9a49e065308f34a59aa7cc3f9bfbd4275a2e8031d153,2023-09,West Midlands Police,West Midlands Police,-2.004115,52.395150,On or near Cheveley Avenue,E01009167,Birmingham 130C,Investigation complete; no suspect identified
