Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
521f2a1567a817ac15305e550ac2035f4401f1f9c62669ade913f4b0bee6815c,2023-10,Durham Constabulary,Durham Constabulary,-1.685687,54.863321,On or near B6532,E01020673,County Durham 008D,Local resolution
a5791a1ba6af77e58a28346935276e98cc9c694af4becf2bd924d092691d4d69,2023-10,Durham Constabulary,Durham Constabulary,-1.527455,54.515230,On or near Burnside Road,E01012318,Darlington 013B,Investigation complete; no suspect identified
7d4ac231c9d2cee9bbab850961d923c8925998f9579789b15925c60af08753ac,2023-10,Durham Constabulary,Durham Constabulary,-1.603625,54.696839,On or near Clarence Street,E01020835,County Durham 052D,Suspect charged
7d4ac231c9d2cee9bbab850961d923c8925998f9579789b15925c60af08753ac,2023-10,Durham Constabulary,Durham Constabulary,-1.603625,54.696839,On or near Clarence Street,E01020835,County Durham 052D,Suspect charged
0547818af4bd5e8134beccab61a09f2fa662a4b23d10d9dc7e71c3af085e0dc3,2023-10,Durham Constabulary,Durham Constabulary,-1.858612,54.847065,On or near Cedar Gardens,E01034489,County Durham 014F,Local resolution
aa915a9d198a25d2d2d9f60816474bd99eddcd5ea129e8cc6d43a542c3909b3e,2023-10,Durham Constabulary,Durham Constabulary,-1.586238,54.615289,On or near Beechfield,E01020846,County Durham 063E,Investigation complete; no suspect identified
bfc81624339118c645d26ac6a730770ae6c8804e4620384c1ed9b4674b2c87e9,2023-10,Durham Constabulary,Durham Constabulary,-1.679268,54.660766,On or near Nelson Street,E01020872,County Durham 056C,Unable to prosecute suspect
62301cb80f89b037e4c7048acf7183ca5af148dd8205ba752567c740fd6a2503,2023-10,Durham Constabulary,Durham Constabulary,-1.332112,54.833046,On or near Albert Street,E01020741,County Durham 017B,Suspect charged
b672e65179ed2cb38fda1a0e29113ff66856822963163309bb126dc1cfe4778c,2023-10,Durham Constabulary,Durham Constabulary,-1.357137,54.801206,On or near High West Lane,E01020754,County Durham 025C,Investigation complete; no suspect identified
cca1a213be7e020e9c591d183bd1eda25ce35fdf1f9cdcc09e44cace4951a2af,2023-10,Durham Constabulary,Durham Constabulary,-1.580507,54.854593,On or near Fife Avenue,E01020593,County Durham 011B,Unable to prosecute suspect
0d2bbc147b1efdf0022b8a32dd40e7d898e079a788df27bca71bdbef80edbd4d,2023-10,Durham Constabulary,Durham Constabulary,-1.431235,54.515391,On or near Aviation Way,E01012345,Darlington 015D,Investigation complete; no suspect identified
8198133450ce37ef8ecd11cb72b67b25634e07768c3ce12bb4cf981a27c385cf,2023-10,Durham Constabulary,Durham Constabulary,-1.845376,54.854903,On or near Fenwick Way,E01034490,County Durham 014G,Unable to prosecute suspect
867192ac9519f8e21d4d4104694ac138b63dcc4b0c22d09e75beb5e3e97516c9,2023-10,Durham Constabulary,Durham Constabulary,-1.548995,54.538426,On or near Close Street,E01012349,Darlington 004A,Further investigation is not in the public interest
6649fe3874ad3a73623dee3aeb670c497ccc6d29699fde39d38a65b6b848e2c3,2023-10,Durham Constabulary,Durham Constabulary,-1.570341,54.773409,On or near Elvet Crescent,E01033197,County Durham 030F,Suspect charged
84ab15ccc1a3ca9c61279b990dcfa1acecf10cbb370bed4d958e77c3d0c85e2d,2023-10,Durham Constabulary,Durham Constabulary,-1.551952,54.662141,On or near Opal Avenue,E01020805,County Durham 053D,Unable to prosecute suspect
e3299ecbd27eda65d6c516dd2e60f48fe1ed036a737a2c76f488f14a55b61ff1,2023-10,Durham Constabulary,Durham Constabulary,-1.589343,54.540637,On or near Kenilworth Drive,E01012312,Darlington 006D,Local resolution
da16b8a0ac314cab6763c302e48ee8e01a60b43fd0d33e0da93381a9bbb43940,2023-10,Durham Constabulary,Durham Constabulary,-1.327028,54.758590,On or near Duddon Close,E01020745,County Durham 032A,Unable to prosecute suspect
02733fe3beab01db8b997843f83a55d29fdb33ba0a0c3925a795013abb272d77,2023-10,Durham Constabulary,Durham Constabulary,-1.667383,54.800538,On or near Bridge Street,E01020658,County Durham 024B,Investigation complete; no suspect identified
1a89f8b5e906167c6788d912f460248dcb1e39f80efc7422e0a1c0d507b73c07,2023-10,Durham Constabulary,Durham Constabulary,-1.523357,54.733000,On or near Supermarket,E01020697,County Durham 041C,Unable to prosecute suspect
b8d4bdd22ae47c7025ba07cad270b07c5caad1e7fa9c6e7d0b8f47531185556a,2023-10,Durham Constabulary,Durham Constabulary,-1.621897,54.817443,On or near Lilac Avenue,E01020621,County Durham 019E,Unable to prosecute suspect
64fedbec211b0a1fb654e9206af5c347e112974523f687ef9bf0e16d78807b73,2023-10,Durham Constabulary,Durham Constabulary,-1.563821,54.779838,On or near Ashwood,E01033195,County Durham 030E,Investigation complete; no suspect identified
9cb6e74e9903a7bda1ebc2ffef521ec5a8b0b1a1c34781339d3ce6606e637422,2023-10,Durham Constabulary,Durham Constabulary,-1.621897,54.817443,On or near Lilac Avenue,E01020621,County Durham 019E,Unable to prosecute suspect
6dd1378f5e20a1491aed3b81e02d677b8d23a8bbb824f7e3cf4ed70889494a6b,2023-10,Durham Constabulary,Durham Constabulary,-1.465169,54.656218,On or near Park/Open Space,E01020828,County Durham 054B,Investigation complete; no suspect identified
95f048f0086aa687398b133919cd4d7146f6516e0d010cbeeaf8618395372f12,2023-10,Durham Constabulary,Durham Constabulary,-1.707161,54.860409,On or near John Street,E01020671,County Durham 009D,Suspect charged
094159758114b2c965050111def9a48df23002dc1e9fcf03e2b62e8701f95e70,2023-10,Durham Constabulary,Durham Constabulary,-1.707938,54.865030,On or near King Terrace,E01020671,County Durham 009D,Investigation complete; no suspect identified
206819ef7ff32f87b3df7da98a4a3e29b5124e12f7d7f567efba6f2545863b8f,2023-10,Durham Constabulary,Durham Constabulary,-1.741461,54.860865,On or near Queens Parade,E01020626,County Durham 006A,Investigation complete; no suspect identified
9648f13c2620197dc0c5ac0a11c48e58376eb92b35367337cd418995fc9ab62d,2023-10,Durham Constabulary,Durham Constabulary,-1.556662,54.522674,On or near Parking Area,E01035187,Darlington 016H,Unable to prosecute suspect
c6580d7d150457e63c6e4e20c91fd5772e8e6da8d9212fc733591dd868e89959,2023-10,Durham Constabulary,Durham Constabulary,-1.584380,54.711055,On or near Briony Close,E01020843,County Durham 047E,Unable to prosecute suspect
939a65b776e9e310837beae375518f4d558b6725440bc74fddca98ae57072db7,2023-10,Durham Constabulary,Durham Constabulary,-1.589804,54.853312,On or near Gainford,E01020602,County Durham 011E,Suspect charged
81665a7bc27ff857b3ca60d3a1f7b468b1255d1ed02426502d48d14cde5a5cc7,2023-10,Durham Constabulary,Durham Constabulary,-1.584380,54.711055,On or near Briony Close,E01020843,County Durham 047E,Unable to prosecute suspect
0fb8cc15898aef006d1864c5634426fa8bb25d34d0acac3ca140e0140ad1ecb8,2023-10,Durham Constabulary,Durham Constabulary,-1.383867,54.815157,On or near Cookson Terrace,E01033161,County Durham 021D,Investigation complete; no suspect identified
c1f125360714bf09329fa761963a69089650954a57a912df1fde3492d0e0dc37,2023-10,Durham Constabulary,Durham Constabulary,-1.588907,54.848043,On or near Cotswold Avenue,E01020599,County Durham 011C,Investigation complete; no suspect identified
476af490f8e7d34db86a364faab192e7f84954380c20fae67c0a7de555ef679c,2023-10,Durham Constabulary,Durham Constabulary,-1.527415,54.743315,On or near Marlene Avenue,E01020694,County Durham 041A,Investigation complete; no suspect identified
6a7247c700c3b87dbc6197586da8e3cb4f8ae6b0e964c6d292507c6bbfd9f9ca,2023-10,Durham Constabulary,Durham Constabulary,-1.750746,54.858368,On or near West Road,E01020625,County Durham 009B,Unable to prosecute suspect
256ff1535dab6a68abba6ea8c3d34291345cd6f0a0e37738eed3eea252c63135,2023-10,Durham Constabulary,Durham Constabulary,-1.551455,54.780395,On or near Mackintosh Court,E01020723,County Durham 029C,Investigation complete; no suspect identified
5dcc4b364ae3c80dc6fe9e092e2ddb44f9d169184f4123bf7a35545ee7b70be7,2023-10,Durham Constabulary,Durham Constabulary,-1.521665,54.734288,On or near Walker Street,E01020697,County Durham 041C,Investigation complete; no suspect identified
b9b2b90fdba58c584af73153ffdc4034d8225d592893e67f81547b1cc68d59e9,2023-10,Durham Constabulary,Durham Constabulary,-1.524528,54.539807,On or near Bishop Close,E01012326,Darlington 005B,Local resolution
89696bf76f7545e2b914a48717af661156a31fe953c6971851d16af2ce52a61c,2023-10,Durham Constabulary,Durham Constabulary,-1.528572,54.737325,On or near Tweddle Terrace,E01020697,County Durham 041C,Investigation complete; no suspect identified
38996e174a7150e578c3df4307895243d2a5c7c2588ec990003449dce36ce1e4,2023-10,Durham Constabulary,Durham Constabulary,-1.350063,54.752461,On or near Passfield Way,E01020770,County Durham 035D,Local resolution
054b8e8f911670f6f5163c7a3d6108a133c18afa12474735b8823f990c80b74a,2023-10,Durham Constabulary,Durham Constabulary,-1.339615,54.834030,On or near Princess Road,E01020740,County Durham 017A,Investigation complete; no suspect identified
f28867a4fe93f1507fe3996e77efe41e5eaf28ce0a21cd7a83d3af9899093a32,2023-10,Durham Constabulary,Durham Constabulary,-1.522010,54.545063,On or near Sunningdale Green,E01012329,Darlington 003B,Investigation complete; no suspect identified
b5ecc6b589897261b2e4b354864f0ab9dcfa7e6d5b5b5b5b0a0a48f985823206,2023-10,Durham Constabulary,Durham Constabulary,-1.689810,54.640276,On or near Dent Street,E01020907,County Durham 058C,Investigation complete; no suspect identified
41de4e834efbfb60c161b198b15495d9e279de46800e19eec8bac9db1b90bebb,2023-10,Durham Constabulary,Durham Constabulary,-1.587573,54.855138,On or near Fourth Avenue,E01020592,County Durham 011A,Unable to prosecute suspect
68be8a83ceb1ef84b9045dfadb66f9124c50f4364794f4ea3186fd443474e672,2023-10,Durham Constabulary,Durham Constabulary,-1.590667,54.544218,On or near Teeswater,E01033481,Darlington 001E,Unable to prosecute suspect
3c25301f2a597e27c4dd713ce455c24311185399a779d9e5b325a7261a917d8c,2023-10,Durham Constabulary,Durham Constabulary,-1.747295,54.819701,On or near Cadger Bank,E01020666,County Durham 020D,Investigation complete; no suspect identified
3d42e020e735173dbf682ace07e4d2249acd2a1f42da19985e3d8239a7aca327,2023-10,Durham Constabulary,Durham Constabulary,-1.633729,54.632535,On or near Larch Avenue,E01020841,County Durham 059F,Further investigation is not in the public interest
332c8183a4664cdbab0128b7886af56734f526b2e7db9722b482b1a2965be82b,2023-10,Durham Constabulary,Durham Constabulary,-1.698319,54.640774,On or near Supermarket,E01034509,County Durham 057F,Investigation complete; no suspect identified
81c53e7d2e9aeec64ba35f9c1e9e1da12df212bc079b78c4892c2b79a53939b1,2023-10,Durham Constabulary,Durham Constabulary,-1.698319,54.640774,On or near Supermarket,E01034509,County Durham 057F,Investigation complete; no suspect identified
30ba570a75a9f8d9ea00435dc5a1cfd381c1b5b6b9b424e69aeb6566bab2de37,2023-10,Durham Constabulary,Durham Constabulary,-1.542657,54.776040,On or near Front Street,E01020693,County Durham 029A,Investigation complete; no suspect identified
354f188a40aa52bd945bb6530aa074734ca532a078563ac9ea57c98576cf64f7,2023-10,Durham Constabulary,Durham Constabulary,-1.589364,54.704709,On or near Westmorland Close,E01020818,County Durham 047B,Unable to prosecute suspect
14bfedd8a2243a670a70fbc22feb4647f35fb5f2654a4069176f8b5004af8882,2023-10,Durham Constabulary,Durham Constabulary,-1.542657,54.776040,On or near Front Street,E01020693,County Durham 029A,Investigation complete; no suspect identified
2e627a622833e1bf086830a91c4c0d586652a11ebbea84cbdbc4b2d3c0e56851,2023-10,Durham Constabulary,Durham Constabulary,-1.542657,54.776040,On or near Front Street,E01020693,County Durham 029A,Investigation complete; no suspect identified
4f0cecedf2e606f45c94c600e54fe81c28d3312c140869fda2ba6cc7e05772cb,2023-10,Durham Constabulary,Durham Constabulary,-1.554509,54.524571,On or near East Row,E01035187,Darlington 016H,Further investigation is not in the public interest
dfdf358e6f340eccd31db0dd2a31df9226569e4141e8c5cca3b2113003528341,2023-10,Durham Constabulary,Durham Constabulary,-1.421213,54.744382,On or near Quilstyle Road,E01020790,County Durham 040C,Investigation complete; no suspect identified
f4b5fcaee3d5ba20f6fd3185c3b39349a960deb93f262e2b8997c462a8a603c8,2023-10,Durham Constabulary,Durham Constabulary,-1.874097,54.488614,On or near Shaw Lane,E01020863,County Durham 067G,Unable to prosecute suspect
ffaf9f5626bf37a999560f7e340bf5c8580bc553cf265793f01a5a298d74a9b0,2023-10,Durham Constabulary,Durham Constabulary,-1.638431,54.746923,On or near Clover Laid,E01020686,County Durham 038B,Investigation complete; no suspect identified
b07ecd29b3ada9558ad813f521baf7ff7a7f0c88618436234a35ad6dea2882d4,2023-10,Durham Constabulary,Durham Constabulary,-1.683170,54.864474,On or near Mendip Terrace,E01020647,County Durham 008A,Unable to prosecute suspect
62dc9886fe8a2c6ee5adfc0886c986cd9224fcae76341ac6e2a0024933096442,2023-10,Durham Constabulary,Durham Constabulary,-1.714045,54.637757,On or near Melrose Drive,E01034510,County Durham 057G,Unable to prosecute suspect
14461d5f6b1be3ca4aeea1d850f058e7b94afb737e617b21f1ff52ac872c2f00,2023-10,Durham Constabulary,Durham Constabulary,-1.540414,54.523575,On or near Stanley Street,E01012304,Darlington 012A,Unable to prosecute suspect
770cea87364a6efaa86f5ef3605bd20d748a225094d499a436213ec393740545,2023-10,Durham Constabulary,Durham Constabulary,-1.692763,54.643133,On or near Snowdon Crescent,E01020909,County Durham 058E,Unable to prosecute suspect
4ced6f31bea94ec362ec45b4f28bc2ca9152705b75744e61f77357b9d1bf28e2,2023-10,Durham Constabulary,Durham Constabulary,-1.543274,54.523460,On or near Green Street,E01012304,Darlington 012A,Unable to prosecute suspect
5c9a3b4e630646b514e2864ae1a98befe1cce24db27c18e6c7e3457eacb54dbf,2023-10,Durham Constabulary,Durham Constabulary,-1.650325,54.628306,On or near Oxford Street,E01020801,County Durham 059A,Unable to prosecute suspect
45357198ca15e66f3c2e9417c5583748433c96fcbe49f3bcb49a240fe7baf3f8,2023-10,Durham Constabulary,Durham Constabulary,-1.638473,54.628078,On or near Sports/Recreation Area,E01020840,County Durham 059E,Suspect charged
90f29a81265ab21f7862c9289fc0ad2edfe4312fcd41426e6bf8673c1708ef4f,2023-10,Durham Constabulary,Durham Constabulary,-1.585837,54.766049,On or near Chevallier Court,E01034498,County Durham 033H,Investigation complete; no suspect identified
aec1ec00c549477c47b32f41ea9dd7c095fc01650e2e7f00d9b84eaf1c5e0316,2023-10,Durham Constabulary,Durham Constabulary,-1.531164,54.542043,On or near Howick Close,E01012333,Darlington 005D,Investigation complete; no suspect identified
5eaed2c13129cebb0d8ca2b40df9162a414baec9735b7f7274129959a3036ece,2023-10,Durham Constabulary,Durham Constabulary,-1.547430,54.787147,On or near Hornbeam Close,E01020692,County Durham 028E,Investigation complete; no suspect identified
371ad4fc8f968caefc66ad7cad3230849d4a5fc4aa724f1f8ab39fb30d12229c,2023-10,Durham Constabulary,Durham Constabulary,-1.511767,54.699856,On or near Chester Crescent,E01020797,County Durham 050A,Local resolution
b25eb6a77e7db722cb0093f70b77a06956ce91ebb4eb8fd37a33e87e6b6fa95f,2023-10,Durham Constabulary,Durham Constabulary,-1.647922,54.634042,On or near Parking Area,E01020838,County Durham 059C,Suspect charged
