Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
907e5fe9a5affa5b8e9155175da1fd95c73c8542925fcbc4054c115427ba56e4,2023-10,Wiltshire Police,Wiltshire Police,-2.183577,51.260824,On or near Edward Street,E01032119,Wiltshire 064B,Further investigation is not in the public interest
752a92dd1a4ab6db4426a6d0b0d682356e466993c3780aef71ab2511c12b1fc9,2023-10,Wiltshire Police,Wiltshire Police,-2.260470,51.438974,On or near Market Place,E01031929,Wiltshire 017D,Unable to prosecute suspect
db6f4dd4c1af9e4fbe74bc9a4ea0508a7f221c87417cd10a4df5609c9dddd091,2023-10,Wiltshire Police,Wiltshire Police,-1.996297,51.438878,On or near Forman Street,E01031902,Wiltshire 016C,Action to be taken by another organisation
9cd47bd328f27d32281645c7017692bb610669faead7d85777e6475513c6f73a,2023-10,Wiltshire Police,Wiltshire Police,-1.761539,51.583704,On or near Bevan Close,E01015558,Swindon 005D,Unable to prosecute suspect
12ac7e470d4982b5eab48a9f572ac8194957ec4eeda4ac79f508f214a14f7198,2023-10,Wiltshire Police,Wiltshire Police,-1.810158,51.584970,On or near Lulworth Road,E01015528,Swindon 006B,Unable to prosecute suspect
ce7d4d9efcaa671dc2d7b8b3939a3fba8cde8dcd3b6c7900740f88f76ebf2e5d,2023-10,Wiltshire Police,Wiltshire Police,-1.781619,51.555852,On or near Dover Street,E01032714,Swindon 019E,Unable to prosecute suspect
60b5b09d0b2102cf76fdf53d18d4164f42e2ac70d302259314d2b62283f603f7,2023-10,Wiltshire Police,Wiltshire Police,-1.719055,51.580463,On or near Petrol Station,E01015473,Swindon 008A,Unable to prosecute suspect
b443e6a1dfb4abdce38d0f7a4e64756a1ec1093a3f34dd02044be625a359bcba,2023-10,Wiltshire Police,Wiltshire Police,-1.825046,51.597950,On or near Alicia Close,E01032704,Swindon 027C,Suspect charged
ad2b159022526e3991014ce1b150125a11abe966e17616b3a96af35f142e1423,2023-10,Wiltshire Police,Wiltshire Police,-1.820856,51.554596,On or near Ely Close,E01015570,Swindon 022E,Unable to prosecute suspect
289e749de6d8985b4a578df42f49b74a8ab4bdd1e34ed8c8ff90649e7f644851,2023-10,Wiltshire Police,Wiltshire Police,-2.190833,51.293093,On or near Petrol Station,E01032053,Wiltshire 037A,Suspect charged
d00b9dbb6932604a782b626259a548412e17d80838a38e61b885f1a6bb4f9e5c,2023-10,Wiltshire Police,Wiltshire Police,-1.828692,51.553709,On or near Clare Walk,E01015570,Swindon 022E,Unable to prosecute suspect
