Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
69922a1e1732e30b3db68cfb5e33d343cd7ba843ec060f1718dc43c80d52c84f,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.246761,53.165573,On or near Box Lane,E01018410,Cheshire East 028D,Investigation complete; no suspect identified
15884dca63f9475e5e954fd95de9a39ed56a1a70e6b172b8f287729da85af7b5,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.238747,53.319415,On or near Donkey Lane,E01018588,Cheshire East 008A,Investigation complete; no suspect identified
b4439685da52aff6cd19c59fe9a7f6e72ac3a7211a98578afb5afc1c45d17668,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.644142,53.402660,On or near Loxley Close,E01012569,Warrington 010E,Investigation complete; no suspect identified
034adfd3728782bad2b14049af407fec8327f0168d4a3f7bdbd005f7167d4a39,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.439529,53.091622,On or near Mill Street,E01018486,Cheshire East 043A,Investigation complete; no suspect identified
b4f47142c59eb956fadb222aa4ec9bda6168c708a6f95988c25fd4c5eaf40b78,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.727096,53.025318,On or near Back Lane,E01018356,Cheshire West and Chester 047C,Investigation complete; no suspect identified
cf2bfce077b7457cf127763a8067bb5b82eb2e137bbe52b6c954a8b6ea5e4a7d,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.375831,53.302064,On or near Supermarket,E01018606,Cheshire East 010C,Investigation complete; no suspect identified
324cec8700bcc0b3b03e9ef01467815167231fc4733eb3954f0c875f856b2174,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.525137,53.438765,On or near Prison,E01012471,Warrington 001A,Investigation complete; no suspect identified
5b15695535a619c78b6eda3e430b24b8c563fcd1b548516913e4fcdeccfae9fb,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.205443,53.348861,On or near Shopping Area,E01018593,Cheshire East 004C,Investigation complete; no suspect identified
d5f5cf274a70a370b4a940bbef290a950107706ea047d33c46263a87ac6fef27,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.442453,53.081166,On or near The Birches,E01018445,Cheshire East 045A,Investigation complete; no suspect identified
3f2e572026e431764e45cf8b87d17621a3643e9e312500931423ad403d36ecb8,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.724576,53.364267,On or near Supermarket,E01012441,Halton 007D,Investigation complete; no suspect identified
e89e0b39ffd03d511f9c6bff7a226a8c6057d251cf26aef6c157184ee34079ec,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.531702,53.397057,On or near Marshall Road,E01012552,Warrington 014B,Unable to prosecute suspect
e0213709519bc7e7d6b1457cf0c022ba73950855ae06460188c3aca2eaa02dcb,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.935607,53.279102,On or near Whetstone Hey,E01018541,Cheshire West and Chester 008C,Investigation complete; no suspect identified
15099698ed3ab176e259c66e84a2b47e16ae07e4d962caec6312c875a4bf2c38,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.882944,53.265641,On or near Parking Area,E01018553,Cheshire West and Chester 011E,Investigation complete; no suspect identified
d1fad56ace104020cef3e97ff441db79ac34a56c58a9cb380c1fbfc424cb8afb,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.341195,53.143658,On or near Scholars Place,E01018433,Cheshire East 032B,Investigation complete; no suspect identified
e517590cd06835a6b5e33d0b5d2c9d769d4c90ffa09678b03b3e5509353b52d3,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.531702,53.397057,On or near Marshall Road,E01012552,Warrington 014B,Unable to prosecute suspect
4b8060bd5b73019e034b15c37f44a34612625cea774757d58a5743b36f203181,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.537610,53.401615,On or near Hillock Lane,E01012556,Warrington 014E,Action to be taken by another organisation
10df2858c840ddd1ff43593dc93a03863a713030b2a960af2aeaf471f3a74aa7,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.531702,53.397057,On or near Marshall Road,E01012552,Warrington 014B,Action to be taken by another organisation
3634c36bb203422d5c012c70cf11c8944db3e580437c2694380daee6a5d997d7,2023-12,Cheshire Constabulary,Cheshire Constabulary,-2.531702,53.397057,On or near Marshall Road,E01012552,Warrington 014B,Action to be taken by another organisation
