Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f9dbd1709f0a62a6d6bad6c7b01f86792fe29bfc0866040b8b3139c3fc54c75d,2024-01,Northamptonshire Police,Northamptonshire Police,-0.870974,52.261950,On or near The Avenue,E01027220,West Northamptonshire 019D,Offender given a caution
3785bf5fd277d9e9d4b8e802453fab0e4b2cb6555ceb3f5c6dd9cf832bed8b0b,2024-01,Northamptonshire Police,Northamptonshire Police,-0.897320,52.245351,On or near Nelson Street,E01027153,West Northamptonshire 032B,Unable to prosecute suspect
b0d00fa0b280283d81594b39159d395f633d1aefdfee3b5bfcd04edc40a2aa9d,2024-01,Northamptonshire Police,Northamptonshire Police,-0.741293,52.402783,On or near Hospital,E01027117,North Northamptonshire 018E,Local resolution
eae40624c8bcdc2caa5c3ec92ba85600181ddfd90070cdc4c7612c78b2f8e6d3,2024-01,Northamptonshire Police,Northamptonshire Police,-0.713438,52.395183,On or near Lilac Place,E01027100,North Northamptonshire 022A,Unable to prosecute suspect
aa51bceb01ba4f308035abce02e4f5004d29a4c994e2efc0da4cb827fbaa428d,2024-01,Northamptonshire Police,Northamptonshire Police,-0.900942,52.246383,On or near Northcote Street,E01027154,West Northamptonshire 032C,Suspect charged
36e29ff3faf08b89fb82eb81ea2b15921615a5125e0b706e50e755abcc27417b,2024-01,Northamptonshire Police,Northamptonshire Police,-0.696801,52.309849,On or near The Pyghtle,E01027332,North Northamptonshire 028C,Action to be taken by another organisation
4f13c1d8d60925cf308e1bcfc63abff8acafd4fca2a59baaf7d8c6de0c5bbee5,2024-01,Northamptonshire Police,Northamptonshire Police,-0.820093,52.446957,On or near Plens View,E01032969,North Northamptonshire 013F,Local resolution
585fe7c7fd1f6515574fdcf2b89a121f89f1aacf2dcfa33949f87f4634dddfa2,2024-01,Northamptonshire Police,Northamptonshire Police,-0.692356,52.490836,On or near Meadow View,E01026952,North Northamptonshire 005D,Further action is not in the public interest
f58a4e14343aa0ec3dd68788a7e4d53fd4fb572a5637b66017117a5cb540f50d,2024-01,Northamptonshire Police,Northamptonshire Police,-0.700937,52.506044,On or near White Post Court,E01026982,North Northamptonshire 002D,Investigation complete; no suspect identified
3123b35322a32daf3bf44718ac81fafa223ca1b6c88ffa134f69d4cb25138730,2024-01,Northamptonshire Police,Northamptonshire Police,-0.716963,52.303489,On or near Kilnway,E01027310,North Northamptonshire 033B,Unable to prosecute suspect
7288a0196d7c38efb05837a6d076787874bda018638cc0f5c732a9bd0def1f10,2024-01,Northamptonshire Police,Northamptonshire Police,-0.608058,52.459279,On or near Causin Close,E01027045,North Northamptonshire 011B,Investigation complete; no suspect identified
3477e77eb939f8d4fb6b7815adf49d5a6706c8feb59fab002af8a5625de7b5b5,2024-01,Northamptonshire Police,Northamptonshire Police,-0.772374,52.493544,On or near Sports/Recreation Area,E01026980,North Northamptonshire 002C,Investigation complete; no suspect identified
