Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7c83562ef8905638437bde17f725499c98ac1747b52d5e6c6f7c8fd54af03a8e,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Further action is not in the public interest
0e943323f8c1a15d17cf4106a1b1204e8fd07e87da3dfc7265eae79ca787d611,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
ff0b43b827782c232a30a185079197b6a64e9fce5d13b354056a842b9bf622da,2024-02,Leicestershire Police,Leicestershire Police,-1.141864,52.661868,On or near Packwood Road,E01013604,Leicester 003E,Suspect charged
b10f600a223f029412fb284d97966ef9638fbe470d3707b1247c7bb8fcd8908b,2024-02,Leicestershire Police,Leicestershire Police,-1.379520,52.724903,On or near Kane Close,E01025957,North West Leicestershire 010D,Suspect charged
c4f52387995085e1c377eec675625c7f67b249d613606c52d570d34a6c18d594,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
65146a25fdf0b498ed47fd18fd320cdca303cd20cc53f93ec11a96731907d219,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
26151979af8dfe39ca84ed8828fcc59ed51fd294d5073b99ee470fe7266de245,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
e2bce0c9ba54239e5b8adbe611ee4e2d359e499b05103a6cf88b277365871b40,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
96dc64385cdf1eb555a0251b76403d3ae40eb441d33948248ddfd3fd66a3bd5b,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
802a378bbb3fe61605e0bf6019b0dd5a4e421e6f226f11ca8cbbe6a43f2f9681,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
97d4c294b9d10815100812961438b1a4fcedf89feabd140c0fc2bb0b11a241f2,2024-02,Leicestershire Police,Leicestershire Police,-0.960971,52.496017,On or near Prison,E01025789,Harborough 007A,Investigation complete; no suspect identified
d3b2611af7d59e3177b6149346eacc295b8d052980bde5df6119ebd5364101e9,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
e518954964e1ca51ee4141f504ebe3645ed848a0006e24b1ff81311f2468af4f,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Offender given a caution
b9435b6067fa59610540b0741dc9a41e9674c6d5dd54afff992b7069b3766d2e,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
288f8e9c9a354c8fe8963edf6fbd22fb43360c5d4b9f2fdce5a7ed7f73b69d43,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
cc34b8e1879cb4a224305a9ad5830aa530b3405c9ebe02630e9d683f482dd6d0,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
08aa3eb0c3670f8b699280d82785da6bdcd0a3ec22910827981a968eda198001,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
491dff7cf80a13317c7cf1d81f3b2d28854ca1249c7dbadad250dd7349bf3959,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
516cf68ec098f9fa4520e67684e41d5582d6a87b02faf1e92b2f2b2a256c01db,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
dd866447b6a4552e0f2244403834f58206ab39e509800128cb7a1c71e6356aa8,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
f9e697641f41753a9e122cab3f206d77e0f631436917ed9f588885a58348589f,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
a777dac01f113971b7671903a16dc075c0333a2d41f58cf1e66766030ce11709,2024-02,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
