Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
006f161c5a198800a6801a01cb7bd964f16a1a5e56939d038352f2d6ada04bff,2024-02,North Wales Police,North Wales Police,-3.013650,53.066910,On or near St Giles Park,W01000375,Wrexham 003B,Suspect charged
6b47670ec600abeec393c5298dde40d0dc1b9ebb066198d2206541e13b626aaa,2024-02,North Wales Police,North Wales Police,-3.141998,53.245499,On or near Cornist Road,W01000290,Flintshire 004B,Investigation complete; no suspect identified
4e55ee7d37df8ae229bec0da9f2e9cea7711b5cfbd2a2f5e5c28ee615b69d329,2024-02,North Wales Police,North Wales Police,-3.489671,53.322603,On or near Parking Area,W01000240,Denbighshire 004E,Unable to prosecute suspect
325f5b50b9c74b3d8e80354f08f34faa25bd89ecb3b06eb4288628062c6c348b,2024-02,North Wales Police,North Wales Police,-3.407780,53.185968,On or near Parc-Bach,W01000197,Denbighshire 012C,Local resolution
d8a04c5b9b6a51e495606ced780f168f1def447f5be291b793c824c3b593dbd9,2024-02,North Wales Police,North Wales Police,-4.129465,52.927948,On or near Madog Street,W01000105,Gwynedd 010C,Suspect charged
37ca97b531e5454185b98a07b5607a1c20b58ed148cc303872808e4314dee583,2024-02,North Wales Police,North Wales Police,-3.001265,53.045763,On or near Bradley Road,W01000350,Wrexham 011B,Investigation complete; no suspect identified
fd67caa69903e0555e5affdaba3b7da56cc369c167bc59d7d37b1c83642f9c3d,2024-02,North Wales Police,North Wales Police,-3.011420,53.043070,On or near Sports/Recreation Area,W01000349,Wrexham 011A,Local resolution
42fd8647c52fa0a0a05d69ef189782cc8fd8acfa90fbfe64262b92e6278dbca2,2024-02,North Wales Police,North Wales Police,-3.463560,53.315096,On or near Llewelyn Court,W01000234,Denbighshire 017G,Action to be taken by another organisation
a4dc88c54020a6cff4d1f66c1b88862cd7abac709ae708be5db325cd3e2448cf,2024-02,North Wales Police,North Wales Police,-3.492817,53.321107,On or near Parking Area,W01000240,Denbighshire 004E,Unable to prosecute suspect
80abd09d7902c64e46584a0e58600cd10746f24af127ff4f73a913460f1537b3,2024-02,North Wales Police,North Wales Police,-4.349412,53.403131,On or near Sports/Recreation Area,W01000003,Isle of Anglesey 001A,Unable to prosecute suspect
