Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9e2828d7d7905ac1c0c0d05a02365764524128c98aabf96bb7c652a39707e26c,2024-04,Northumbria Police,Northumbria Police,-1.385158,54.897175,On or near The Avenue,E01008834,Sunderland 013E,Suspect charged
98389a74b5a3d0ce16b9c0d9b20dcfc7f142bb9ad993f3d337c548aadc2410ba,2024-04,Northumbria Police,Northumbria Police,-1.513538,54.914786,On or near Helmdon,E01008855,Sunderland 007A,Investigation complete; no suspect identified
4cce68de146a462158d686f57d7426b6836c2870d44b1b9b13770492ed9d9bc6,2024-04,Northumbria Police,Northumbria Police,-1.499197,54.998157,On or near Harrison Road,E01008510,North Tyneside 026C,Investigation complete; no suspect identified
2569361bbd460061f17e0d7e98cea82a79f87c044115350c7a53b1077d1450c2,2024-04,Northumbria Police,Northumbria Police,-1.656102,54.973180,On or near Wellfield Road,E01035618,Newcastle upon Tyne 038B,Investigation complete; no suspect identified
990f7398fde7ad9c94eb0f0c6b4545231303077570cd289603c68131f6b00d66,2024-04,Northumbria Police,Northumbria Police,-1.389637,54.922674,On or near Norley Avenue,E01008708,Sunderland 005A,Suspect charged
e20b0e53137105a0998723f643c22b3e6d4ec067e7f19c3ed8c3badf30c34df3,2024-04,Northumbria Police,Northumbria Police,-1.451383,54.929088,On or near Blyth Street,E01008838,Sunderland 003C,Investigation complete; no suspect identified
570dc3fb98f3941174ac484b4804a62c8cb11c951ec86db2065b9c2aa8288b9a,2024-04,Northumbria Police,Northumbria Police,-1.458422,54.920816,On or near Campbell Road,E01008695,Sunderland 008C,Investigation complete; no suspect identified
b79ec78ecc3940b3fc10dea2aabaef9ba7165678cd1782756afd9ad79fe3120a,2024-04,Northumbria Police,Northumbria Police,-1.640767,54.951488,On or near Kent Avenue,E01008210,Gateshead 007B,Suspect charged
d3a04c5aff4c9ac3f5c1913290e9e3ab569d26773882903149aca02b4cf27ccd,2024-04,Northumbria Police,Northumbria Police,-1.429954,55.006569,On or near Harbour View,E01008599,South Tyneside 001E,Suspect charged
54af15ec25adc54ff61e261cac57e7b1805ec44decd85e442dffe187d4d69168,2024-04,Northumbria Police,Northumbria Police,-1.611604,54.970593,On or near Nightclub,E01033543,Newcastle upon Tyne 036C,Investigation complete; no suspect identified
6cd03119a9f7f420624a46d3a6d89ddc7e22e6bb4b3b786ff045a074507f9de0,2024-04,Northumbria Police,Northumbria Police,-1.433372,54.983706,On or near Ravensworth Terrace,E01008683,South Tyneside 005D,Investigation complete; no suspect identified
6cd03119a9f7f420624a46d3a6d89ddc7e22e6bb4b3b786ff045a074507f9de0,2024-04,Northumbria Police,Northumbria Police,-1.433372,54.983706,On or near Ravensworth Terrace,E01008683,South Tyneside 005D,Investigation complete; no suspect identified
6851db8b762b618f085bf8c12603a614271f03ab26e2c510e9ff9c7181ddbcd1,2024-04,Northumbria Police,Northumbria Police,-1.481214,54.980414,On or near Wilberforce Street,E01008600,South Tyneside 007A,Suspect charged
6851db8b762b618f085bf8c12603a614271f03ab26e2c510e9ff9c7181ddbcd1,2024-04,Northumbria Police,Northumbria Police,-1.481214,54.980414,On or near Wilberforce Street,E01008600,South Tyneside 007A,Suspect charged
6851db8b762b618f085bf8c12603a614271f03ab26e2c510e9ff9c7181ddbcd1,2024-04,Northumbria Police,Northumbria Police,-1.481214,54.980414,On or near Wilberforce Street,E01008600,South Tyneside 007A,Suspect charged
1d7244940ffdb26d2f1158ceded0e6fc44db3d3a1ace2db82706cf40d6d4b38d,2024-04,Northumbria Police,Northumbria Police,-1.584580,54.932671,On or near Bowness Place,E01008221,Gateshead 021C,Investigation complete; no suspect identified
775090a0a7cfe1481e6e123054b920c4b3525b45d190d30dc854353c2be364df,2024-04,Northumbria Police,Northumbria Police,-1.432079,54.998913,On or near Nightclub,E01008596,South Tyneside 001B,Investigation complete; no suspect identified
774ee9e49ac175c7e650084db85ef66545786adb35f776e064b33c553886ffcd,2024-04,Northumbria Police,Northumbria Police,-2.110893,54.964916,On or near St Johns Road,E01027490,Northumberland 035C,Suspect charged
3c66f0d55d49f45de634378229568a3325d48b7624fb8f33b0df5ffe2b9c9b6e,2024-04,Northumbria Police,Northumbria Police,-1.511767,54.963152,On or near Derwent Avenue,E01008644,South Tyneside 015B,Investigation complete; no suspect identified
3c66f0d55d49f45de634378229568a3325d48b7624fb8f33b0df5ffe2b9c9b6e,2024-04,Northumbria Police,Northumbria Police,-1.511767,54.963152,On or near Derwent Avenue,E01008644,South Tyneside 015B,Investigation complete; no suspect identified
82f6929ccf62725491fbba31fbeb57aada14457c1184661597703223f1a363e0,2024-04,Northumbria Police,Northumbria Police,-1.442858,54.980254,On or near Barehirst Street,E01008671,South Tyneside 012C,Investigation complete; no suspect identified
e01065cf62b5be7b2cc27ed8248d60d39d5acd347b5c94d8be4196529046e0e9,2024-04,Northumbria Police,Northumbria Police,-1.579070,55.132954,On or near Hatfield Chase,E01027518,Northumberland 020C,Investigation complete; no suspect identified
2ea61d9a8bd47b4b1b1272e1bd6ac07f46d504a5d0038618e921cf21a4e809b6,2024-04,Northumbria Police,Northumbria Police,-1.422374,54.919239,On or near Hylton Park Road,E01034514,Sunderland 005H,Suspect charged
0de9bddc853afa4ed25c16ff062769e7f3a884b31ecd63b99c5a7cd4cb3bdf60,2024-04,Northumbria Police,Northumbria Police,-1.422374,54.919239,On or near Hylton Park Road,E01034514,Sunderland 005H,Suspect charged
28fcd1fa00560292d5b1abc4ef6bc546c2cea19f2a346db7693eb5be5be2c311,2024-04,Northumbria Police,Northumbria Police,-1.748884,55.052647,On or near Beechwood Place,E01027466,Northumberland 033C,Investigation complete; no suspect identified
2b5fad9e7079861eb242424f0f34981a69135df52375ac78f6114deae8ca4932,2024-04,Northumbria Police,Northumbria Police,-1.461261,54.952398,On or near Cotswold Lane,E01008613,South Tyneside 021D,Suspect charged
2aa79e73c263f55090a0af325eb94d28745d263e6a700315884d8cc07a967347,2024-04,Northumbria Police,Northumbria Police,-1.552045,55.002541,On or near Ribblesdale,E01008532,North Tyneside 025B,Investigation complete; no suspect identified
f5036f04490ec8b4d57c9ea85ba475acfa1fcbf36cfce42ad0caa18d4ac0f2a8,2024-04,Northumbria Police,Northumbria Police,-1.602118,54.963122,On or near Supermarket,E01008166,Gateshead 027C,Suspect charged
f5036f04490ec8b4d57c9ea85ba475acfa1fcbf36cfce42ad0caa18d4ac0f2a8,2024-04,Northumbria Police,Northumbria Police,-1.602118,54.963122,On or near Supermarket,E01008166,Gateshead 027C,Investigation complete; no suspect identified
f0b7cc512e81bd515671b097e73be913f8042b168d745a1caa5d58cf678097a2,2024-04,Northumbria Police,Northumbria Police,-1.430485,54.898357,On or near Henley Road,E01008810,Sunderland 014A,Investigation complete; no suspect identified
6d596a3939d76b64f89f9ee75ebc221c0f0aad6001bfc928a5b147723b7e9a80,2024-04,Northumbria Police,Northumbria Police,-1.431854,54.958384,On or near Copley Avenue,E01008689,South Tyneside 019B,Investigation complete; no suspect identified
aed5a6d57869033c8d58750b2501201af68b995bed84389eb616e9df55ab8c1c,2024-04,Northumbria Police,Northumbria Police,-1.410891,54.927811,On or near Wembley Road,E01008821,Sunderland 004D,Investigation complete; no suspect identified
a0286ae33fc0528f1006b72322a0765645e756558c8de356c43c8546cde8830c,2024-04,Northumbria Police,Northumbria Police,-1.687403,55.166834,On or near Chantry Place,E01027453,Northumberland 016B,Local resolution
521cc6543db44036cc49c8c2c9013ee6170f438877e201ea212cb54d1754da43,2024-04,Northumbria Police,Northumbria Police,-1.414318,54.887371,On or near Powis Square,E01008828,Sunderland 023F,Investigation complete; no suspect identified
e9b93e0d3c7c82b0cf0477a2e91bfec70d550eb1707f926300017dac567e9850,2024-04,Northumbria Police,Northumbria Police,-1.626807,54.951625,On or near Wooler Crescent,E01008259,Gateshead 007D,Investigation complete; no suspect identified
b876b0970e6f999397c69e8272bb75ca725067c842b31e7a6f1627cb1fa5b129,2024-04,Northumbria Police,Northumbria Police,-2.100910,54.970002,On or near Cattle Market,E01027490,Northumberland 035C,Suspect charged
2ad6aca5dd68f37e87bd3a716d9a046e69eb8e4652dcb9eb274fad8a423f96ca,2024-04,Northumbria Police,Northumbria Police,-1.482322,54.982998,On or near Saxon Way,E01008604,South Tyneside 007B,Suspect charged
42f16d6e87b437107159a8e8e4133b9f1057089c61ee4c9dc9733313a136500c,2024-04,Northumbria Police,Northumbria Police,-1.414286,54.907878,On or near St Luke's Terrace,E01008701,Sunderland 011A,Local resolution
3fc45c19e354f4332dabd71b258117a061c0391dc3e59e3bbb646c88e480becb,2024-04,Northumbria Police,Northumbria Police,-1.542149,54.980560,On or near Waverdale Avenue,E01008436,Newcastle upon Tyne 020F,Suspect charged
3fc45c19e354f4332dabd71b258117a061c0391dc3e59e3bbb646c88e480becb,2024-04,Northumbria Police,Northumbria Police,-1.542149,54.980560,On or near Waverdale Avenue,E01008436,Newcastle upon Tyne 020F,Suspect charged
2b65d75344af46ad592ac60029dba2520e8edb135ec8f6f80a21a5ce8d5ad744,2024-04,Northumbria Police,Northumbria Police,-1.450239,55.007201,On or near Waterville Terrace,E01008544,North Tyneside 027D,Investigation complete; no suspect identified
e7a75a7d0b9889bca33c5e5ee0a9d3ac9d5b54e47bb2e6b0e79b3182e09b3424,2024-04,Northumbria Police,Northumbria Police,-1.612818,54.975926,On or near Northumberland Street,E01008397,Newcastle upon Tyne 036B,Suspect charged
7302f4850a3c573c9515b8bcd7b47f4a8602461f9e03c248a04baf6ef0cc86be,2024-04,Northumbria Police,Northumbria Police,-1.539815,54.881288,On or near Larchwood,E01008863,Sunderland 025D,Investigation complete; no suspect identified
9ca43ce3546403a65f0ad75995090edc3c6f16e8588e4b7b0b9505fe6e3a49ce,2024-04,Northumbria Police,Northumbria Police,-1.505100,54.895638,On or near Lakeside Gardens,E01008851,Sunderland 017E,Investigation complete; no suspect identified
4e7ebf308ded979102b5270bb4d3d7889a39c992411e0201fae49e46cc7b138a,2024-04,Northumbria Police,Northumbria Police,-1.600316,54.960591,On or near Shopping Area,E01008166,Gateshead 027C,Suspect charged
e86f78276e2bb3778b1602f0eb9daec499b4581141da275ea7b5597bd7788f55,2024-04,Northumbria Police,Northumbria Police,-1.514346,55.009657,On or near Bodmin Close,E01008463,North Tyneside 024B,Suspect charged
f22af90c1907eae7b3be235d9c4210de9436517a5db67d10ad033fa5328b35c0,2024-04,Northumbria Police,Northumbria Police,-1.847075,54.957817,On or near Drawback,E01027500,Northumberland 038D,Investigation complete; no suspect identified
f22af90c1907eae7b3be235d9c4210de9436517a5db67d10ad033fa5328b35c0,2024-04,Northumbria Police,Northumbria Police,-1.847075,54.957817,On or near Drawback,E01027500,Northumberland 038D,Investigation complete; no suspect identified
43a73b1f7e95724acf362483dd589374a05827d947f753efe427e6bc76cf6e52,2024-04,Northumbria Police,Northumbria Police,-1.434697,55.033936,On or near Marden Avenue,E01008496,North Tyneside 010B,Investigation complete; no suspect identified
ba1e7036f2b5351f537a70d87549713fa0d9f79b2f9c05c7cf59d6974ef268f2,2024-04,Northumbria Police,Northumbria Police,-1.399136,54.909278,On or near North Ravensworth Street,E01008700,Sunderland 013A,Investigation complete; no suspect identified
b6c5a3843b5759926006b23f6fda87960c023d5595ebab4d5fedecb6299505eb,2024-04,Northumbria Police,Northumbria Police,-1.396408,54.924793,On or near Carley Hill Road,E01008712,Sunderland 004A,Investigation complete; no suspect identified
