Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4d8cd274eb10ee5486158c98d23be04db66202a7f1353e7d9560b8c43fa5744c,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a5d1e66e015119b1c7aa488367d256da6d239cfb2d352debcd3864dbbbf41854,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
9e08b2fcf2ffb07be643af0f65e120183e655a3704d4f6bd0a1a9ad2b21b54c6,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
57109f3f48c39b804bd2723b6c179bd5c7b524c38f366b318fa3a9916a40daaf,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
7d8211f6b784e82b36ad1a74b8facfbf6a656d3865eacf888e2dea70b564f4b1,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
1bff487fc3e74aa1ece9f79d1ec50d7709b3117d33bf2eb2a4c688038e094513,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
b3d1f8ebcfcc1118d3af487d01f48e8e2292870dd8cf1c558eeefcbb3a913d6a,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a7b8457cf7c8ae5d3ec57c5b152f87b424889327c04575c4500eb1ad81e3054d,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further action is not in the public interest
71a8e2a340486d0457e9ecfe7a4634b719db95c5efa71772778ee789bbddad0b,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
1818cb90f80b46a3d6cd5025956f382ad75d7d9963b0e56331e5b65624b19a88,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.777096,51.269240,On or near Dunstan Way,E01029129,Sedgemoor 001E,Formal action is not in the public interest
b4b0a090f8189168b2d272f35474e41c4127b3c9b23fd8b93b1b402ef5d2b24c,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
920dbd317ce22daf4fe34b7ee4970867b3fb556fcb30594a4006b9f7c9a326d9,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.589740,51.458559,On or near The Horsefair,E01033342,Bristol 025E,Suspect charged
528b24dafc8bdbe49d539354964ca5a957302c219bc15bad9e1ec8c317b139a0,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
8ee84417d43a0596f8e4bf0f4ab5740c68e4e9aeff220ed82d4e426cce7d05e8,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further action is not in the public interest
d22a050ff551c28adfb86745781bb2adf6445dc27469897845798833e2f6763d,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
a5a7429593e91a910aad42d654370922aac2a9b01168c7c7414747d468e1816b,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.633509,51.492814,On or near Sandyleaze,E01014716,Bristol 009B,Further investigation is not in the public interest
538bae5820a8bc072d8097ed18d1bdbf675986878eef53b171e88dbcd6a9a2e2,2024-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.805035,51.365211,On or near Dickenson's Grove,E01014765,North Somerset 014B,Unable to prosecute suspect
