Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2589cd33cc9366dd14064b7e7678f2e3a3add5ebae3864e3ede7c3f80ac3a4d4,2024-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
85ce467e2f245bdaef27f1cb3eb688d0ace40e4ce57fe63b06175a68d04b2d01,2024-05,West Yorkshire Police,West Yorkshire Police,-1.617558,53.745120,On or near Birk Lane,E01011530,Leeds 106A,Unable to prosecute suspect
2b4866782cdefe625b0453151c943be705b7df52b716a58880c92b408e08c59a,2024-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
7510ed124abb6000b335e8e8ec0d28890c17f14c5216796b7c6f8dc33c700568,2024-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
155bcf294a3156500e05bfd939ba15e334fa872cd0607962760c7477a6d26280,2024-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Further investigation is not in the public interest
58e5a05acf09fe8048f1591390164f47bbdd8f603f3608332ebdbd600a4cbcd1,2024-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
7910439bcf58b412d51916e4906ec9ee4c9dd1b9e089f41e68392add3ae67737,2024-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4b101b2321d5ff73835bc0f3cde0f53609c1864eed72660d183f766573af70a9,2024-05,West Yorkshire Police,West Yorkshire Police,-1.629891,53.756646,On or near Finkle Lane,E01011523,Leeds 096C,Investigation complete; no suspect identified
44d52d62624277a4a9e1d65635d4cbc643c29206a27070625d5b84dae6e1d1fa,2024-05,West Yorkshire Police,West Yorkshire Police,-1.493050,53.792242,On or near Neville Mount,E01011621,Leeds 070D,Unable to prosecute suspect
2751d957ab20e2e7deeae4da64aff3e755443c61a9ba853a0d11d03315b7034e,2024-05,West Yorkshire Police,West Yorkshire Police,-1.551062,53.846805,On or near Saxon Mount,E01011558,Leeds 018B,Unable to prosecute suspect
3dbabd284faa4318f63ad652bbb4b5cae3971211b3750759fc9d88d6653d60fa,2024-05,West Yorkshire Police,West Yorkshire Police,-1.670322,53.791970,On or near Parking Area,E01011602,Leeds 076A,Investigation complete; no suspect identified
94631f163aa5a3a8c80a398c47b2c249ba6901dd07bcf349736537fd4b703cb4,2024-05,West Yorkshire Police,West Yorkshire Police,-1.753482,53.793661,On or near Tyrrel Street,E01033690,Bradford 065C,Unable to prosecute suspect
aeb1f6904d8fe135cb5dbb70e2bc426383a78561b4c19886c3d3d9f5298a38e4,2024-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
