Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6b1a365601ae6a75d827bcca259a4cc8f74847e2401c7a6bc7c33395e3a847fd,2024-06,Humberside Police,Humberside Police,-0.366143,53.735773,On or near Sefton Street,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
9e1386e26d6104906c524d8edf2908a16062e4a68b29c99a129adda8cfc6318c,2024-06,Humberside Police,Humberside Police,-0.376362,53.789640,On or near Dodthorpe,E01012875,Kingston upon Hull 003A,Unable to prosecute suspect
20a064c212612c9f89fa5f89e3698fb6c25d03b80ffcf802836e1fd4233e7ce6,2024-06,Humberside Police,Humberside Police,-0.347694,53.745759,On or near Parking Area,E01035466,Kingston upon Hull 029H,Investigation complete; no suspect identified
7c167f8d06be7e3435f3b0024b681ec70bb6895456283f87afddb865a75f136e,2024-06,Humberside Police,Humberside Police,-0.347065,53.754829,On or near Sophia Close,E01012857,Kingston upon Hull 024D,Unable to prosecute suspect
965b795b1be5d84ef24266583cd4644a7af96aba4952b238e472fad8ebb2e30c,2024-06,Humberside Police,Humberside Police,-0.172988,53.914154,On or near The Rise,E01013046,East Riding of Yorkshire 012A,Local resolution
4dfdfa16b9f5e36584d05edfe0a2fba57b02105f5cdfba7dd956891f1f8c5fbe,2024-06,Humberside Police,Humberside Police,-0.367776,53.735112,On or near Dee Street,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
c920c3cfb1aed7278a0b453821281afdcce0cacf26a9ee92294ed04d88e355cc,2024-06,Humberside Police,Humberside Police,-0.370909,53.790123,On or near Jenthorpe,E01012875,Kingston upon Hull 003A,Unable to prosecute suspect
eb696f0d27d1dae094fec29158f223a01d02bb52d57c8f9178b98bcc582f3117,2024-06,Humberside Police,Humberside Police,-0.339296,53.787972,On or near Waterdale,E01012830,Kingston upon Hull 006B,Investigation complete; no suspect identified
ba6f07c022e70ae35cc4a777759d914c661a0f2cdd2a68ce6d8eb59a52f52131,2024-06,Humberside Police,Humberside Police,-0.282668,53.762104,On or near Rimswell Grove,E01012898,Kingston upon Hull 017F,Suspect charged
0f8a970cfca0560d8e1a1c80527c3216ace73887976f64bfbb02e6b17f25d142,2024-06,Humberside Police,Humberside Police,-0.351196,53.741924,On or near Almond Grove,E01012854,Kingston upon Hull 029C,Suspect charged
61d9a37ab7b1509a5dec3126d96f62d07838c54b8dac1fc71cf136c58b18fa14,2024-06,Humberside Police,Humberside Police,-0.835778,53.608861,On or near Cross Street,E01013249,North Lincolnshire 006E,Suspect charged
4afb791cd7ad1f7c3faf9744fc4b27b02c1be656ff89ed4823a15e0337842a6a,2024-06,Humberside Police,Humberside Police,-0.600075,53.659119,On or near Farndale Way,E01013288,North Lincolnshire 003A,Unable to prosecute suspect
9f2c9c7d14b2e94c52c48def7307c5dc4e22328609c229fd647e1316eb6b00b5,2024-06,Humberside Police,Humberside Police,-0.460239,53.751779,On or near Cottage Drive,E01013114,East Riding of Yorkshire 028C,Unable to prosecute suspect
8ab53b270195188f34e2704b4e4bde8a585f666c69525da71f48a35b9e94efc4,2024-06,Humberside Police,Humberside Police,-0.417874,53.847895,On or near Arden Road,E01013038,East Riding of Yorkshire 017A,Unable to prosecute suspect
6c179252f8511d096d6323153066afe06f1b25e16909e82440f42d9f76211538,2024-06,Humberside Police,Humberside Police,-0.381756,53.747689,On or near Alliance Avenue,E01012863,Kingston upon Hull 027C,Unable to prosecute suspect
0ec521ae85a0bf785aef0986583007a90ad958ba9e9faf07fce0d6c1dd9c6b56,2024-06,Humberside Police,Humberside Police,-0.092876,53.552275,On or near Further/Higher Educational Building,E01013205,North East Lincolnshire 019B,Unable to prosecute suspect
f47497886a25d07cced4c9be53f60e3263c7d89859bbf4e866ac06490eebba12,2024-06,Humberside Police,Humberside Police,-0.463181,53.756779,On or near Riplingham Road,E01013114,East Riding of Yorkshire 028C,Unable to prosecute suspect
a60cf426771b04300e7a710e7e1a00dd8ace1199b31ac1845e9873e9145c90eb,2024-06,Humberside Police,Humberside Police,-0.535158,53.531425,On or near Swannacks View,E01013326,North Lincolnshire 021B,Unable to prosecute suspect
5aca4c2da51ae79100731f77c4e734c0325336886b1d163849816c5ee02b1159,2024-06,Humberside Police,Humberside Police,-0.442664,54.009990,On or near Robert Holtby Close,E01012979,East Riding of Yorkshire 045B,Further action is not in the public interest
01f79e95c0a309eec54ad34b2278507da9d9b1195675f64339c72c5ee49ac6e0,2024-06,Humberside Police,Humberside Police,-0.093205,53.565108,On or near Chantry Lane,E01013221,North East Lincolnshire 003D,Unable to prosecute suspect
267bbea784ad0d0b035e5a983bb74f4bc1936708b49decc46653e0a76a932a2f,2024-06,Humberside Police,Humberside Police,-0.342901,53.750403,On or near Blake Close,E01035465,Kingston upon Hull 029G,Unable to prosecute suspect
31cbf9a2b600416f6773973413214461c3aba68e452eb19b42a94e9d7525361c,2024-06,Humberside Police,Humberside Police,-0.099926,53.543847,On or near Odin Court,E01035477,North East Lincolnshire 021F,Unable to prosecute suspect
67da6b2a0d0353316b1539e4956240ec72ff40a3acfc164545a6d41877c8fbe2,2024-06,Humberside Police,Humberside Police,-0.670150,53.567916,On or near Mavis Road,E01013319,North Lincolnshire 014D,Further action is not in the public interest
9f580a56412ca35cbda5cd24751f2bbebccde473b5de86d1350359785fa4c55e,2024-06,Humberside Police,Humberside Police,-0.560442,52.042533,On or near Station Road,E01033820,Central Bedfordshire 009G,Unable to prosecute suspect
02af803c22a982c3336e791917cfb4d86c359e1b2310e16c63d89524a151a098,2024-06,Humberside Police,Humberside Police,-0.684564,53.592948,On or near Herriot Walk,E01013301,North Lincolnshire 009B,Investigation complete; no suspect identified
276719bac7f1965098abc3911f9c532e6ec446af2de56aeee4e4f29d9ffa1103,2024-06,Humberside Police,Humberside Police,-0.040212,53.565528,On or near Chapman Road,E01013198,North East Lincolnshire 024A,Investigation complete; no suspect identified
5eea7e94a22d3f1c05564b19bcdfddba7fb26018cd9c4f3b3e9f2770a1954241,2024-06,Humberside Police,Humberside Police,-0.095546,53.564435,On or near Cromwell Avenue,E01013187,North East Lincolnshire 008A,Unable to prosecute suspect
2cb93864e97573903fbf5b526e5bcfd37f1dfd4f48e0000b24aeaa8516c42a58,2024-06,Humberside Police,Humberside Police,-0.104790,53.546810,On or near Hatcliffe Close,E01013208,North East Lincolnshire 019C,Unable to prosecute suspect
3b49fba7b3f6612638b65a58b9d3055f7c2a2db51f26b51ab5b20878afc8a83f,2024-06,Humberside Police,Humberside Police,-0.877318,53.707809,On or near Laura Street,E01012997,East Riding of Yorkshire 040B,Unable to prosecute suspect
