Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b48e95da9ee27d9a168890947fcc8761b90412cd1c858f70fe7b9522c1804199,2024-07,Cleveland Police,Cleveland Police,-1.297019,54.565615,On or near Infinity View,E01035198,Stockton-on-Tees 025B,Unable to prosecute suspect
2501c380675827b3c20c58d10f2a98cf0f0467d9e3b2dbd8ab27d2b241072eb0,2024-07,Cleveland Police,Cleveland Police,-1.243012,54.659914,On or near Glamis Walk,E01011978,Hartlepool 012D,Suspect charged
1c9614df47ccb569a924053baaf5c01c0154a4308b39268070e0205fd7ec9cb5,2024-07,Cleveland Police,Cleveland Police,-1.236892,54.580304,On or near Police Station,E01035189,Middlesbrough 001H,Unable to prosecute suspect
a37c42e3eeae314921963789f4e7d8437c57f24e401207741b4a574b936bd401,2024-07,Cleveland Police,Cleveland Police,-1.144325,54.572190,On or near Tennyson Close,E01033471,Redcar and Cleveland 009F,Unable to prosecute suspect
9e958ce177b24dff146e9b86fb98d100ce286b640e788c5f0f8b8e5ae9c2de05,2024-07,Cleveland Police,Cleveland Police,-1.231433,54.553012,On or near Elderwood Court,E01012019,Middlesbrough 011B,Unable to prosecute suspect
953b449f3aedb7330c142721cf1c2a78fe5ac45626e6652fa55ac26070107e7d,2024-07,Cleveland Police,Cleveland Police,-1.239133,54.578755,On or near Parking Area,E01035189,Middlesbrough 001H,Unable to prosecute suspect
f76e70ae0b5f5e653a517d07df50e7ad3eee2d5f1c4b14021ea0db17f974a469,2024-07,Cleveland Police,Cleveland Police,-1.244740,54.568365,On or near Craven Street,E01012040,Middlesbrough 003E,Unable to prosecute suspect
f4ce110ee3bb1cc9c43ccf8c503581dfed2f2e91c532d038d747667176bc395b,2024-07,Cleveland Police,Cleveland Police,-1.232996,54.577674,On or near Parking Area,E01035189,Middlesbrough 001H,Unable to prosecute suspect
b1972a3f6f5f6fb6fecfbb07394afec0bd3a57a91efb5abb480b445fc6d5d023,2024-07,Cleveland Police,Cleveland Police,-1.219815,54.689360,On or near Rodney Street,E01035188,Hartlepool 015C,Unable to prosecute suspect
f7b5727c9df40c8f7647f70b5523b1ed62d07d51f4206f8f6b271d8af2f4ad79,2024-07,Cleveland Police,Cleveland Police,-1.200926,54.688303,On or near Admiral Way,E01011974,Hartlepool 015B,Unable to prosecute suspect
0c705a0d62f1f0fcb9962a383f75717cfcd3408460440a1f47b6a2a8d316c9ee,2024-07,Cleveland Police,Cleveland Police,-1.213279,54.523400,On or near Dalby Court,E01012033,Middlesbrough 019D,Unable to prosecute suspect
cc5b891b25bfcb4d2b0a77e0c4c26910241654f7330248c976f483ceb583e2a6,2024-07,Cleveland Police,Cleveland Police,-1.230217,54.547810,On or near Sunningdale Road,E01012021,Middlesbrough 011D,Unable to prosecute suspect
69541b6509276171906d29a86de45b0ade41d31746a6b46b7ab08db64150b445,2024-07,Cleveland Police,Cleveland Police,-1.219262,54.542617,On or near Darnton Drive,E01012051,Middlesbrough 014C,Unable to prosecute suspect
0ea52c08685166ea65b2c545477190b03651862f7b28e8fbed18fad610a98933,2024-07,Cleveland Police,Cleveland Police,-1.218763,54.551754,On or near Marton Road,E01012018,Middlesbrough 011A,Unable to prosecute suspect
f86c61f22fa683123d853f4ef71db866b54e6aec243694dd4010ca94f39c83c0,2024-07,Cleveland Police,Cleveland Police,-1.243291,54.563898,On or near Napier Street,E01012078,Middlesbrough 005A,Unable to prosecute suspect
ea8f0c564d1ec44c1d8f1fa3bc7a21d6a5bccd1a27bb5ba99f28ad04969f9a6a,2024-07,Cleveland Police,Cleveland Police,-1.209988,54.533830,On or near Lucerne Court,E01012049,Middlesbrough 014A,Unable to prosecute suspect
09b316a6074586db34e2228ea12c6fc5bb935c59da71576b5dc8da9fdb1d127e,2024-07,Cleveland Police,Cleveland Police,-1.274501,54.575215,On or near North Tees Industrial Estate,E01012258,Stockton-on-Tees 010C,Investigation complete; no suspect identified
6908a32c4615d1ba37e1f4f9cb5397940eb91ed20537b46cf7d1b13e72b139f0,2024-07,Cleveland Police,Cleveland Police,-1.194639,54.569300,On or near A1085,E01012061,Middlesbrough 002D,Investigation complete; no suspect identified
e5578a740acf78b6c02e8534a26fa13b5a69176fe5e21de91bf6efa638520690,2024-07,Cleveland Police,Cleveland Police,-1.244120,54.666211,On or near Parking Area,E01011979,Hartlepool 012E,Investigation complete; no suspect identified
c7c0b815e5eff5c05f1f8293bf2ee4030fb3e7e3af796df17238413c3e1f341a,2024-07,Cleveland Police,Cleveland Police,-1.231440,54.560031,On or near Valley Road,E01033469,Middlesbrough 006E,Investigation complete; no suspect identified
8eb587ccf476c655ebb35c521ecd1be671ea86af33de6ef2099521f87032af8b,2024-07,Cleveland Police,Cleveland Police,-1.216831,54.684848,On or near York Road,E01011999,Hartlepool 007D,Investigation complete; no suspect identified
3e4ade7b3d08abbd398a6b61ab13e720ad6425bee13a24154199a036aaa53e1b,2024-07,Cleveland Police,Cleveland Police,-1.237236,54.672001,On or near Walpole Road,E01011981,Hartlepool 009C,Investigation complete; no suspect identified
72886e3caec7ea17f797079d206504650b60f8e8cfbc5b117bca808ec235fb4f,2024-07,Cleveland Police,Cleveland Police,-1.306769,54.519658,On or near Beningborough Gardens,E01012237,Stockton-on-Tees 022E,Investigation complete; no suspect identified
573609c43a5aa420afc046ac5e3b3b22c73d767ac3df9dd7ae03522d0add15cc,2024-07,Cleveland Police,Cleveland Police,-1.191234,54.702168,On or near Arabella Close,E01011993,Hartlepool 002E,Investigation complete; no suspect identified
bb88bbeb6a53f62fab96ceb27d43b9fb54eb53ff359ae12f69f44ae03737f63f,2024-07,Cleveland Police,Cleveland Police,-1.244798,54.551838,On or near Greenwood Avenue,E01012008,Middlesbrough 012B,Investigation complete; no suspect identified
37ef9e26e592d34ebfeaca515c911da64126fa148ac9f3222d1f24cba4b2d188,2024-07,Cleveland Police,Cleveland Police,-1.229524,54.700135,On or near A179,E01032540,Hartlepool 003G,Investigation complete; no suspect identified
aefeab56e92105fda3ddb090d5c87c418c28b700f48b2e2a4793d0ca02331d5e,2024-07,Cleveland Police,Cleveland Police,-1.370473,54.642498,On or near Stoney Wood Drive,E01033476,Stockton-on-Tees 005F,Investigation complete; no suspect identified
e90b900b31ff45f524f73206bb04e96d02a524f9c9b3774bb429577e85a83804,2024-07,Cleveland Police,Cleveland Police,-1.354515,54.571948,On or near Melton Road,E01012205,Stockton-on-Tees 011D,Unable to prosecute suspect
5143319dc25a9c0db76c94f7517673bfcff8f9d8b43266cdec635ecb1cb9e2b5,2024-07,Cleveland Police,Cleveland Police,-1.340284,54.572887,On or near Barlborough Avenue,E01012204,Stockton-on-Tees 013A,Unable to prosecute suspect
6d8457c0a4260d6fdd487f9f3449404f27103e58370287c0ed5e18063c6e31ba,2024-07,Cleveland Police,Cleveland Police,-1.225982,54.660408,On or near Buckie Grove,E01011988,Hartlepool 010B,Unable to prosecute suspect
c3a14d9d673bc231f1c08e0a48093a8ca249d544eb22d17f5ae15f2c91d27391,2024-07,Cleveland Police,Cleveland Police,-1.311639,54.580977,On or near Napier Street,E01012194,Stockton-on-Tees 010A,Unable to prosecute suspect
f0061c512ab664072b80fef4a68bbddda7bc1779b7695501579f323b86cd1941,2024-07,Cleveland Police,Cleveland Police,-1.212377,54.672147,On or near Kathleen Street,E01012001,Hartlepool 008D,Unable to prosecute suspect
022d012cb8b15d778b0147e9664210db49add322547c9ce96376dd7001c5cbc8,2024-07,Cleveland Police,Cleveland Police,-1.207330,54.572089,On or near Jefferson Street,E01012059,Middlesbrough 002B,Unable to prosecute suspect
32ee89107eed88b3c52fd0c7c7a8bfaa42001c047ed1c7d26ba061e65a9c35d3,2024-07,Cleveland Police,Cleveland Police,-1.320763,54.523503,On or near Hatchlands Park,E01033474,Stockton-on-Tees 027C,Unable to prosecute suspect
6f6e4189c57ec9820d5bba16560e4d66b27837aae662cd149c0b672c45c8504a,2024-07,Cleveland Police,Cleveland Police,-1.236892,54.580304,On or near Police Station,E01035189,Middlesbrough 001H,Unable to prosecute suspect
1e19e6e2b375f7152f47d52f642d504920912f862033ebce1e348dec3c457eaa,2024-07,Cleveland Police,Cleveland Police,-1.236892,54.580304,On or near Police Station,E01035189,Middlesbrough 001H,Unable to prosecute suspect
d23311bd9000be9b816b795695008335344cd8314a7e39c6e0287f92f6699d4f,2024-07,Cleveland Police,Cleveland Police,-1.353010,54.582976,On or near High Newham Road,E01032544,Stockton-on-Tees 009H,Further action is not in the public interest
14e39499edd167fc2a0c05e375673ba7fc6af5e4535482f06ce6c1a6a4e98abc,2024-07,Cleveland Police,Cleveland Police,-1.116065,54.570666,On or near North Row,E01012109,Redcar and Cleveland 011B,Further action is not in the public interest
ac73e9ef1b7d6861eb40bd4877cc833ea5eeb445788037a0b52dfdf543699f7f,2024-07,Cleveland Police,Cleveland Police,-1.008964,54.588503,On or near Thrushwood Crescent,E01012155,Redcar and Cleveland 006F,Further action is not in the public interest
