Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3165d5952220b507d7d6831e3b4769fcb766acf9700b2ac0decf9df90e77ed90,2024-07,Sussex Police,Sussex Police,-0.377900,50.825572,On or near Carnegie Close,E01031799,Worthing 008C,Investigation complete; no suspect identified
4af3383aec9a9f7b2de486244b1cc460c57e8bde713d9dfa375d3558f665e493,2024-07,Sussex Police,Sussex Police,-0.414241,50.828302,On or near Police Station,E01031818,Worthing 003D,Offender given a caution
ce6cefbcfb4d6fc32e0e83a9cf5dc9746a13ada24e11871005717e89f7b9f8eb,2024-07,Sussex Police,Sussex Police,-0.415672,50.818752,On or near Burlington Road,E01031783,Worthing 006A,Unable to prosecute suspect
53649e458f5f9d1056eb88e5d86d1f0e568d8426ae21a264687f2293dbd8eafc,2024-07,Sussex Police,Sussex Police,-0.406420,50.824058,On or near Rothesay Close,E01034828,Worthing 007F,Investigation complete; no suspect identified
67d042009a8cf8635b1b4da5b0cb56d18f2327da49f449ddc6bd8ba79d42151c,2024-07,Sussex Police,Sussex Police,-0.915747,50.845307,On or near Jubilee Mews,E01031534,Chichester 009D,Local resolution
c4bc02fdd5ebef5aea797540245857f8be035fb2f682187a28828457cb480232,2024-07,Sussex Police,Sussex Police,,,No location,,,Suspect charged
b2ae0cffa11a2fe9da8dfc943fde6a508d8ff8a5ca6791b31742cd85ea22f5ac,2024-07,Sussex Police,Sussex Police,,,No location,,,Suspect charged
eb871c2848577a58dda90cf931d4bba1fc451d29e54b018dcf22a7b17623f10e,2024-07,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
8f860d8987f5e4240e4e1efbd43e2ca7b4072be6bb3ad2b5b9e53829afd5871e,2024-07,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
066f57e008e27f20662286bf1f39ce16f9656af41d70b0aebf2298b20cc9e249,2024-07,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
b0ce46e226873ec32de95b5b840f1e2ce7934212f7ac12bdffd2956b1e39b267,2024-07,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
e95d4b3b0ee7922ba1b780f8c36fc61e68cd1d5347ca6af6292328c3f3244666,2024-07,Sussex Police,Sussex Police,-0.139180,50.826119,On or near Shopping Area,E01033328,Brighton and Hove 027F,Suspect charged
86ee71f39bf4d0c305c33ce77f3cfc1ca849e736fa870c84f79553160d616bda,2024-07,Sussex Police,Sussex Police,-0.154314,50.825082,On or near Western Road,E01016954,Brighton and Hove 029D,Investigation complete; no suspect identified
45df518cac6e93b0cfa412521b34338de84b84d4187a537cae36a692b9d36b85,2024-07,Sussex Police,Sussex Police,,,No location,,,Local resolution
1ecabd67d77954bf5da31d1b8376e3787bdec8e002ad70d3bbd87fdd863b2dc3,2024-07,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
