Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6524305af14c3309fb758e83b2c840fe5e3224add48392bd66e786b77fd2a501,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.482751,52.920003,On or near Parking Area,E01034257,Derby 013H,Unable to prosecute suspect
b12fd0208b9d3d969747c37c5e758dc6480f59a2c58e01c5665c470cb48be63f,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.317965,52.991375,On or near Coppice Avenue,E01019664,Erewash 001D,Suspect charged
1d4642aeb47c6bb2faa3ae942cd9ec1410d476af635401a57c5a258b614c6871,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.528427,52.891112,On or near Hebden Close,E01013541,Derby 021B,Suspect charged
f4d58855e595560e669f9b99774aa8619e8faa6f1ab895171258adad1ff03138,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.481176,52.896183,On or near Arleston Street,E01013571,Derby 023B,Unable to prosecute suspect
54366cee431eac8f6b84464b09e545a55d764f3bcc8197e4ee0e164668e2f39e,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.450636,52.934413,On or near Sussex Circus,E01013533,Derby 007A,Unable to prosecute suspect
fd09f3661428ece2503f0579e3c63eadada3256bf9ff6e44f1580e7d450644d6,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.344786,53.269263,On or near A619,E01019564,Chesterfield 002B,Suspect charged
2d6f5a8d42573177dead32e16c97a3231b69e150b2db614f1b7ca9032a28d3dc,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.477702,52.902029,On or near St Thomas Road,E01013569,Derby 020D,Unable to prosecute suspect
0edf56ac286e3dce3738cf7c9838f96874974cd7f2574bf3d2dcc57e8358ee93,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.301232,52.898282,On or near Derby Road,E01019641,Erewash 011A,Local resolution
e4dbc42e165e55b430d34019e2b53fb89da1d82286d48005949b4e1bea024fbf,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.479799,52.887089,On or near Shelley Drive,E01013584,Derby 029A,Unable to prosecute suspect
16e394dea26266d582e7dc2097dc20b532ed8d2e16ea158cb881a19e792a627f,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.627374,52.875139,On or near Pegasus Way,E01019847,South Derbyshire 002C,Formal action is not in the public interest
e335389f8e379e1e5d160362aba50e319118b0d709be37ab11a69a594fb4483b,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.928789,53.321045,On or near Marsh Way,E01019713,High Peak 008B,Investigation complete; no suspect identified
b6d1a9bbd394cadd172e598589bcdc3c781f6265be9421475c3318f62224d791,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.428765,52.874548,On or near Thurrows Way,E01013519,Derby 031C,Unable to prosecute suspect
7e02abdded0a814bfe3737beea61cad3277bcabd0d2d36d73d64c2cc4d961e41,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.215101,53.196325,On or near Recreation Drive,E01019511,Bolsover 007E,Investigation complete; no suspect identified
701aed403dcf6f50dbcd384b5ffe0d54c43c75b5842975f0213acc2a20dc0a3c,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.289471,53.290124,On or near High Street,E01019479,Bolsover 001B,Investigation complete; no suspect identified
f5273c586d36877f08e68971a8e422ae834dfd387083eed97d0fd81c47417597,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.427625,52.887748,On or near Field Lane,E01013500,Derby 028D,Investigation complete; no suspect identified
3ccdd83d1fee774f59af74f486b0e1782f83bd184305a6f60fa8d6856bf8890b,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.443377,52.899491,On or near Severn Street,E01013471,Derby 025A,Unable to prosecute suspect
97815e0856c476f0eb17ec8a7db11decae0791804e0275084b8090bb91902a9c,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.477533,52.926021,On or near St Michael's Lane,E01034256,Derby 013G,Investigation complete; no suspect identified
69592a9112a5b698233c979a9f57b5cca8d15ca2dfc33f3876743e2909e79115,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.369556,53.074226,On or near James Street,E01019470,Amber Valley 004B,Unable to prosecute suspect
39add8df05552a8a3c69fac5a5c6482b8bb99f16a17a010db670dc6e70ba62b5,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.512339,53.112633,On or near Shelford Lane,E01019406,Amber Valley 002A,Unable to prosecute suspect
1315695b3283fc777c49a4785a8b044ed8df926a4b5280806f0b1f1a953d8330,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.928642,53.445096,On or near Pyegrove,E01019750,High Peak 003D,Unable to prosecute suspect
3fe873ae160631f3e58e17b69cd5824fa0f7988a5b617fda5a52647b7e532656,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.469807,52.914274,On or near Litchurch Street,E01033166,Derby 018F,Investigation complete; no suspect identified
bf1fa446138ef863665bc7b03d4cf84edf1fb4d590df8977f67683f5511bee25,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.440616,52.889950,On or near Bracken's Lane,E01013503,Derby 025F,Unable to prosecute suspect
020c6cb614680fe7cf730c6785206bdcb77fadacd014e5497fff2299d5618d40,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.290424,52.912880,On or near Sheldon Close,E01019648,Erewash 010A,Investigation complete; no suspect identified
119a2608d51f38a490b6f4557abc1e8eb033c23aadd517ad037218443fedd700,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.422813,52.890889,On or near Helston Close,E01013501,Derby 028E,Unable to prosecute suspect
d9204cd6a5f3dd9a4fe628e401e9d3d37242c815d905d768b780fa219c20ac80,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.389014,52.857001,On or near Maple Drive,E01019833,South Derbyshire 004B,Investigation complete; no suspect identified
de554dce7bc0bf6e4f2b6b08dc98aaf1aadc86b9c0adb79ed973385e853c2951,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.471254,52.912716,On or near Arboretum Street,E01013481,Derby 018A,Investigation complete; no suspect identified
da47685fd1fbd8563333b50618079792604a4fd4f8e146b84b610bd0510cf4c7,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.513099,52.910072,On or near Hospital,E01013542,Derby 017C,Unable to prosecute suspect
b22796cb9f74db27c7c737818b2ab3bff7532fffc5f9dc17a50ad6f78f631075,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.501952,52.926495,On or near Bass Street,E01013547,Derby 011A,Unable to prosecute suspect
e14cbf6dbccb292b9645e70873f9388171c65758816a9aba0fcfa38c5820319e,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.447777,53.248561,On or near Magpie Way,E01019537,Chesterfield 007A,Unable to prosecute suspect
e1c85cf74409b7e50c075d11cfad57320cf92b6ae5ea6a79299eb55e0b69d432,2024-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.453048,52.892983,On or near Parking Area,E01013472,Derby 026A,Unable to prosecute suspect
