Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
863768f760c5d46fe72940f75d2288f8997ef495a7708c0aeaec004e1768f44f,2024-09,Dorset Police,Dorset Police,-1.909215,50.757341,On or near Cunningham Crescent,E01015309,"Bournemouth, Christchurch and Poole 010B",Unable to prosecute suspect
7e2588002bce1187942289ccc7d5365f53e6564e1be1ec8afeb95a5d2b741005,2024-09,Dorset Police,Dorset Police,-2.458461,50.615153,On or near Parking Area,E01020574,Dorset 041A,Unable to prosecute suspect
f61920ebbf66c7e72debb6058a0df64502408eeffd4e97faf782e92952b02d11,2024-09,Dorset Police,Dorset Police,-1.829732,50.728170,On or near St James's Square,E01015275,"Bournemouth, Christchurch and Poole 035C",Unable to prosecute suspect
4ab53e29816a778bcbb738cd07f2e2411749897c632348b7714eb93934e9da83,2024-09,Dorset Police,Dorset Police,-2.454824,50.611750,On or near Great George Street,E01020554,Dorset 044B,Unable to prosecute suspect
4f8367cc25d4feb5733555eecd21f8229bf9d75a555cb4c67c5046766f819bc2,2024-09,Dorset Police,Dorset Police,-2.457419,50.752333,On or near Chestnut Road,E01020510,Dorset 022B,Unable to prosecute suspect
f4b1b131a5bc750776dacede919600a2f3875884583ce432fdbc88f7391e7625,2024-09,Dorset Police,Dorset Police,-1.918825,50.750766,On or near Downey Close,E01015359,"Bournemouth, Christchurch and Poole 010E",Unable to prosecute suspect
513e026b9ed0edf21671e5c22c500b4b032fbb1078aba906f98be3f850129ee3,2024-09,Dorset Police,Dorset Police,-1.899627,50.759384,On or near Merryfield Lane,E01015305,"Bournemouth, Christchurch and Poole 003C",Unable to prosecute suspect
32adcbcdf69edd03f1a2edbf6933d18997add35a3e509f995f38b82e8c483e02,2024-09,Dorset Police,Dorset Police,-1.936994,50.742297,On or near Ballam Grove,E01015442,"Bournemouth, Christchurch and Poole 023D",Unable to prosecute suspect
663549951ff21c3511c31f04b5ae904017dcefc34478afc642fceb577a5b9188,2024-09,Dorset Police,Dorset Police,-2.476727,50.612858,On or near Cornwall Close,E01020575,Dorset 041B,Unable to prosecute suspect
b53cdc8619142da0fd23bb797da4bcd2fda05425d5303786fca03cdeed46e0de,2024-09,Dorset Police,Dorset Police,-2.524675,50.951693,On or near Warren Way,E01034379,Dorset 004F,Unable to prosecute suspect
