Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fd712af821427c333400f7e90950672960ac139e88728fa3128cfe35ac9d2a46,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.975826,51.787423,On or near Woodlands Park,W01000586,Pembrokeshire 006C,Investigation complete; no suspect identified
7f01c65eaa3a7a1fbec80d8f901ffeda1249d830149f0fe5f031ab57613087b8,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.597978,51.824073,On or near Sports/Recreation Area,W01000735,Carmarthenshire 027D,Investigation complete; no suspect identified
6b4fe0cec37768be808f00f7d3021ad901ec9bb9d9b411ce99393314f1185080,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.162709,51.680593,On or near John Street,W01000654,Carmarthenshire 023B,Suspect charged
aec4c48df24c73b64420b2f9ba4552053a6a3285c9fc8aad308b28ccc5ed8a69,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Suspect charged
14d1f63c0f4a7895ce9b80caad1c19e420d188cbffce66f2adf230f8606d4e51,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-3.331810,52.509702,On or near Lon Derw,W01000479,Powys 009B,Unable to prosecute suspect
36a728d333df3073da235f4b859b9fa8b11d8b8c04b738ef1562d14eb29b91c3,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.328713,51.858361,On or near Further/Higher Educational Building,W01000644,Carmarthenshire 006B,Unable to prosecute suspect
be653264e73d683d46f6263a65a47d9ab625a27e1c8e82144644b0d934bd516d,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.832176,52.018275,On or near Feidr Fach,W01000597,Pembrokeshire 002E,Unable to prosecute suspect
3ff3fc68c3e59df539ddad14ac6792b7bd72a7f0fbf638b32461a5bfd9fb5084,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.565651,52.031288,On or near Parking Area,W01000558,Pembrokeshire 001A,Action to be taken by another organisation
e144091b5b6cc9a4feaec67821bf14adddb9ba3b10590a45a7146727f62124e6,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.239609,51.718089,On or near Heol Llanelli,W01000730,Carmarthenshire 018D,Unable to prosecute suspect
dda2d57cb730321f8af08779828b0912a4b3ccf8f60330e800787ccc89f53cbc,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.145130,51.697965,On or near Glanlleidi Terrace,W01000655,Carmarthenshire 020C,Unable to prosecute suspect
5de3956d9efbb8445f57234d0eea1bf4b28f37f15d6d69b7e04c0755326b3897,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.311751,51.862904,On or near Cae Eithin,W01000637,Carmarthenshire 007A,Suspect charged
0fe1f06156f9d129d5642311c9c775cb54d8ada95f9618686a05071ee960efc2,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-3.537821,52.447558,On or near Cemetery Square,W01000467,Powys 010D,Investigation complete; no suspect identified
5817e7782e7234d0219d4f85710121f2cd57f548270e1e2f13204bc96fecd531,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.666520,51.790615,On or near Gilfach Road,W01000577,Pembrokeshire 007A,Unable to prosecute suspect
1c2cfd0ff123b0e700a8b7ac889be92999512d9bfae1adbdd3ae67eaaf746728,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-3.170246,51.873796,On or near Parking Area,W01001905,Powys 018H,Investigation complete; no suspect identified
5e2dcdfdb49e53f88b56fec247a4e6b282a31a3a9d2da4753c8b95e7eab2dc26,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.304093,51.859997,On or near Richmond Close,W01000641,Carmarthenshire 008A,Unable to prosecute suspect
fb43070c32719d265ed527a42f072cada837ebde026fb01e8ea9cf6b8c459d02,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.614644,51.804614,On or near B4328,W01000735,Carmarthenshire 027D,Unable to prosecute suspect
c4d5b554f1f21d2a5bd33dd2b75a267ced1d6ec22e7266258cb4e13d2ffe1ca9,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-5.070523,52.006182,On or near Parking Area,W01000617,Pembrokeshire 002F,Investigation complete; no suspect identified
1d71e0a861d8605eff012649c403049e5b6e1663de8d58c4465da41df798a617,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.115205,51.786041,On or near High Street,W01000697,Carmarthenshire 015A,Unable to prosecute suspect
f377aff867b1d1032889aa6e175ee52222d2ba09d52e725fcc3dc53c1b22f9f1,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.622513,52.014508,On or near Berllan Aur,W01000559,Pembrokeshire 001B,Investigation complete; no suspect identified
764dd11090e7379e9fb3c71fc192e63fee72114b941afd830a5289c8a6e4ef31,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.951799,51.687729,On or near Cross Park,W01000605,Pembrokeshire 013F,Unable to prosecute suspect
2951f0c3d15e202dd62ad614fb8b5b667f70b4b6ed85d72416634e4df1b01fd4,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.462520,51.946788,On or near Park/Open Space,W01000728,Carmarthenshire 003D,Unable to prosecute suspect
bce8e2bdfdef5050b7565a07e5a12e31548d81e9e3b01880f50f7029d8b6428a,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.242067,51.730021,On or near Park/Open Space,W01000730,Carmarthenshire 018D,Investigation complete; no suspect identified
de45585912c99ba1b7117c12603dca928a7bbf65e9b3d88fb4998798b7207d9f,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.313669,51.857552,On or near Model Court,W01000645,Carmarthenshire 006C,Investigation complete; no suspect identified
8b1d5c1f09d13e0e1afb2554c35cbdf0183aad1668d8d96ae7e6c71b2d22afb8,2024-09,Dyfed-Powys Police,Dyfed-Powys Police,-4.074127,52.109800,On or near Supermarket,W01000527,Ceredigion 008A,Unable to prosecute suspect
