Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2025-09-01T13:02:00+00:00,,,53.244625,-0.537942,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-01T19:40:00+00:00,,,53.367754,0.012415,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,True,False
Person search,2025-09-02T02:35:00+00:00,,,52.805468,0.013818,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-02T02:36:00+00:00,,,53.406631,-0.755847,Male,over 34,Other ethnic group - Not stated,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-02T10:30:00+00:00,,,53.285360,-0.295754,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person and Vehicle search,2025-09-02T11:45:00+00:00,,,53.216348,-0.539025,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-02T11:52:00+00:00,,,52.910419,-0.641048,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,2025-09-02T11:52:00+00:00,,,52.910419,-0.641048,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,2025-09-02T13:39:00+00:00,,,53.215736,-0.547088,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-02T13:39:00+00:00,,,53.215736,-0.547088,Male,over 34,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-02T13:45:00+00:00,,,53.247304,-0.551190,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,True,False
Person search,2025-09-02T17:18:00+00:00,,,53.398329,-0.773656,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2025-09-02T17:30:00+00:00,,,53.397207,-0.772951,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2025-09-02T17:39:00+00:00,,,53.397325,-0.773053,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person and Vehicle search,2025-09-03T19:44:00+00:00,,,53.207703,-0.129043,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,True,False
Person and Vehicle search,2025-09-03T21:15:00+00:00,,,53.238855,-0.515383,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-04T20:00:00+00:00,,,52.803269,0.018369,Male,,Other ethnic group - Not stated,White,,Controlled drugs,A no further action disposal,False,False
Person and Vehicle search,2025-09-04T20:00:00+00:00,,,52.804576,0.011827,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,True,False
Person search,2025-09-04T21:40:00+00:00,,,52.978469,-0.026845,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,True,False
Person search,2025-09-04T22:10:00+00:00,,,53.386323,-0.334549,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person and Vehicle search,2025-09-05T00:00:00+00:00,,,52.702457,-0.088148,Male,18-24,White - Any other White background,White,,Controlled drugs,A no further action disposal,False,False
Person and Vehicle search,2025-09-05T00:00:00+00:00,,,52.784686,-0.154522,Male,,Other ethnic group - Not stated,White,,Controlled drugs,A no further action disposal,False,False
Person and Vehicle search,2025-09-05T00:00:00+00:00,,,52.702457,-0.088148,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person and Vehicle search,2025-09-05T00:05:00+00:00,,,52.779146,-0.159027,Male,over 34,Other ethnic group - Not stated,White,,Controlled drugs,A no further action disposal,False,False
Person and Vehicle search,2025-09-05T01:45:00+00:00,,,52.757827,-0.370258,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-05T05:25:00+00:00,,,53.230308,-0.541187,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2025-09-05T05:25:00+00:00,,,53.230308,-0.541187,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2025-09-05T14:33:00+00:00,,,53.241482,-0.507074,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,2025-09-05T17:15:00+00:00,,,53.142775,0.331978,Male,18-24,Other ethnic group - Not stated,Black,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-05T17:15:00+00:00,,,53.142775,0.331978,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,True,False
Person search,2025-09-05T17:15:00+00:00,,,53.142775,0.331978,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,True,False
Person search,2025-09-05T17:15:00+00:00,,,53.142775,0.331978,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-05T17:15:00+00:00,,,53.142775,0.331978,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-05T17:50:00+00:00,,,53.399375,-0.775686,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-05T17:50:00+00:00,,,53.399375,-0.775686,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-05T17:50:00+00:00,,,53.399375,-0.775686,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-05T20:52:00+00:00,,,52.908989,-0.662402,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-06T03:00:00+00:00,,,53.215736,-0.547088,Male,,Other ethnic group - Not stated,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-06T03:07:00+00:00,,,53.215736,-0.547088,Male,18-24,Asian/Asian British - Any other Asian background,Asian,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-06T13:48:00+00:00,,,52.912390,-0.643559,Male,over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-06T20:10:00+00:00,,,53.229053,-0.542233,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,A no further action disposal,False,False
Person search,2025-09-07T14:00:00+00:00,,,53.365803,-0.002557,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,False
Person search,2025-09-07T15:35:00+00:00,,,53.230440,-0.549047,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Summons / charged by post,True,False
Person search,2025-09-07T20:05:00+00:00,,,53.186038,0.242166,Male,25-34,White - Any other White background,White,,Controlled drugs,A no further action disposal,False,False
Person and Vehicle search,2025-09-07T20:05:00+00:00,,,53.186038,0.242166,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-07T20:40:00+00:00,,,53.252576,-0.513613,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,True,False
Person and Vehicle search,2025-09-07T20:40:00+00:00,,,53.252576,-0.513613,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,True,False
Person search,2025-09-08T00:50:00+00:00,,,53.236199,-0.542889,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2025-09-08T14:35:00+00:00,,,53.231000,-0.520758,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-08T15:55:00+00:00,,,52.910174,-0.639286,Male,,Other ethnic group - Not stated,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-09T23:00:00+00:00,,,53.226763,-0.540213,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-09T23:34:00+00:00,,,53.226763,-0.540213,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-10T10:08:00+00:00,,,53.230219,-0.518657,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-10T10:08:00+00:00,,,53.230219,-0.518657,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-10T10:08:00+00:00,,,53.230219,-0.518657,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
