Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2025-09-01T14:27:00+00:00,,,51.073061,-1.804321,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Evidence of offences under the Act,Arrest,False,False
Vehicle search,2025-09-01T15:08:00+00:00,,,51.465558,-2.208928,,,,,,Controlled drugs,Arrest,True,
Person search,2025-09-01T16:07:00+00:00,,,51.063031,-1.776317,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,A no further action disposal,,False
Person search,2025-09-01T17:23:00+00:00,,,51.266778,-2.198722,Male,,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,False
Person search,2025-09-01T22:31:00+00:00,,,51.540588,-1.727433,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2025-09-02T04:48:00+00:00,,,51.321442,-2.202589,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,,,Offensive weapons,Arrest,False,False
Person and Vehicle search,2025-09-02T04:48:00+00:00,,,51.321442,-2.202589,Female,over 34,Other ethnic group - Not stated,White,,Offensive weapons,Arrest,False,False
Person search,2025-09-02T12:01:00+00:00,,,51.552016,-1.839760,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,True,False
Person search,2025-09-02T12:47:00+00:00,,,51.458611,-2.114852,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,,False
Person search,2025-09-02T13:13:00+00:00,,,51.560868,-1.785302,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,,True,False
Person search,2025-09-02T13:13:00+00:00,,,51.560868,-1.785302,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,A no further action disposal,,False
Person search,2025-09-02T17:51:00+00:00,,,51.553815,-1.735633,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2025-09-02T17:51:00+00:00,,,51.553815,-1.735633,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,,False
Person search,2025-09-02T17:58:00+00:00,,,51.556158,-1.830918,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,True,False
Person search,2025-09-02T18:00:00+00:00,,,51.556158,-1.830918,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,,True,False
Person search,2025-09-02T18:03:00+00:00,,,51.552016,-1.839760,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,,False
Person search,2025-09-03T10:10:00+00:00,,,51.073061,-1.804321,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,Community resolution,True,False
Person search,2025-09-03T12:09:00+00:00,,,51.561473,-1.782428,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,False
Person and Vehicle search,2025-09-03T22:15:00+00:00,,,51.593482,-1.787198,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,False,False
Person search,2025-09-03T23:30:00+00:00,,,51.317786,-2.183675,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,,A no further action disposal,,False
Person and Vehicle search,2025-09-04T00:58:00+00:00,,,51.561512,-1.720138,Male,25-34,White - Any other White background,White,,Controlled drugs,Arrest,False,False
Person search,2025-09-04T14:51:00+00:00,,,51.607693,-1.794857,Female,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2025-09-04T19:55:00+00:00,,,51.610587,-1.816001,Male,10-17,Asian/Asian British - Any other Asian background,Asian,,Offensive weapons,A no further action disposal,,False
Person and Vehicle search,2025-09-04T20:48:00+00:00,,,51.061577,-2.083413,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,False
Person search,2025-09-04T21:30:00+00:00,,,51.061577,-2.083413,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2025-09-05T10:59:00+00:00,,,51.561350,-1.779385,Male,18-24,White - Any other White background,White,,Controlled drugs,Arrest,True,False
Person search,2025-09-05T11:32:00+00:00,,,51.352612,-1.995557,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,Arrest,True,False
Person search,2025-09-05T14:32:00+00:00,,,51.554172,-1.750977,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,A no further action disposal,,False
Person search,2025-09-05T14:33:00+00:00,,,51.553153,-1.749656,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2025-09-06T00:45:00+00:00,,,51.552443,-1.776111,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,False
Person search,2025-09-06T00:45:00+00:00,,,51.552443,-1.776111,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,,False
Person search,2025-09-06T00:45:00+00:00,,,51.552443,-1.776111,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,,False
Person search,2025-09-06T14:02:00+00:00,,,51.550709,-1.836981,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,False
Person and Vehicle search,2025-09-06T19:50:00+00:00,,,51.418871,-1.724087,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,False,False
Person search,2025-09-06T22:34:00+00:00,,,51.563016,-1.785350,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,A no further action disposal,,False
Person search,2025-09-07T01:00:00+00:00,,,51.459992,-2.118597,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,,False
Person search,2025-09-07T01:03:00+00:00,,,51.459992,-2.118597,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,,False
