Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4c26d04cf5ede6544ef362828d9ef55654773bf8b0360cfa6d4b89466519bfe9,2026-01,Essex Police,Essex Police,0.515499,51.754063,On or near Drovers Way,E01021537,Chelmsford 005B,Investigation complete; no suspect identified
1df9457f7d436f48f49564ba5c81144b80b937c8be7b56497fa1fb4fc6f191bf,2026-01,Essex Police,Essex Police,0.661780,51.749158,On or near Maldon Road,E01021913,Maldon 002D,Unable to prosecute suspect
6a471eac818e99a4070662bb4e8c6e5717d581892bc6a07ad52f00a3eebf9cc5,2026-01,Essex Police,Essex Police,0.095343,51.769671,On or near Nightclub,E01034366,Harlow 007F,Suspect charged
46f0e04a6739629211cf01443c65142e576447a210d3dd8b88fd45aa39003c13,2026-01,Essex Police,Essex Police,0.612140,51.515527,On or near South Parade,E01021491,Castle Point 012C,Unable to prosecute suspect
eb56769902e32a9fd7eb0817011ab78127490a79bf08f9dc92e787ae58a6746c,2026-01,Essex Police,Essex Police,,,No location,,,Suspect charged
a7edcfcbde8db0865d958405de8b457e58b3c11859be34785e4efc2652520ce4,2026-01,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
81fd5293d0108dc171d577958781d4d2a01d03070de77d33f4c0a47efb515638,2026-01,Essex Police,Essex Police,0.073653,51.758762,On or near Church End,E01021832,Harlow 009C,Unable to prosecute suspect
52a329ed8c77b5b3fe46b4dcef4ed615d2a0ad0d01f2802731d9b69c329958a4,2026-01,Essex Police,Essex Police,0.805867,51.674917,On or near Foxhall Road,E01021901,Maldon 006A,Unable to prosecute suspect
de1dec61b400c8a8ee745916fd49622f51e97e0257e9b9cfa78d164ac62eb7bc,2026-01,Essex Police,Essex Police,0.707692,51.582763,On or near Old Ship Lane,E01021955,Rochford 004D,Local resolution
2c039d595c180956cdece6b72414c5e5f7ec704a95eb4434eb44b3bb726f7ceb,2026-01,Essex Police,Essex Police,0.058299,51.772277,On or near Roydon Road,E01021840,Harlow 004B,Suspect charged
c16549d6447462ce38d06a491038125e1ddc1ce79006aa392c92746692276a8e,2026-01,Essex Police,Essex Police,,,No location,,,Suspect charged
e59d7f4bae786b999b9d1f837b55a6c6be087137d697b9d216b4e94af9711795,2026-01,Essex Police,Essex Police,0.714024,51.534198,On or near Nightclub,E01015852,Southend-on-Sea 015B,Local resolution
771a7f6add2f46d49899d42441a5dbc2c0781c273bc3e79c6e63fb1f04806a62,2026-01,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
a21d62030845db1e7113e54777a21dc1eedaf7ac4f51c4c041af5b785298f086,2026-01,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
162f4259e95b870c0a5061f46b5261eadfb7fc467fbfe2008820fa08885f789e,2026-01,Essex Police,Essex Police,0.712440,51.534025,On or near Royal Terrace,E01015851,Southend-on-Sea 015A,Local resolution
ef4deeb4153f462a3b4f4e5093bba32b4e6eb5ca8f1d02f158a7c049b91e7045,2026-01,Essex Police,Essex Police,0.461085,51.739064,On or near Rainsford Road,E01021575,Chelmsford 009B,Unable to prosecute suspect
61e43275ed1d8193a12bb7d201d5cdd6cde3999242c06f45a51d71cb7115e921,2026-01,Essex Police,Essex Police,,,No location,,,Local resolution
2e4eeb8996b4d2cc41a6a31007b008f9205581dfce1dfbf0fcda682af7f51d68,2026-01,Essex Police,Essex Police,0.448485,51.570949,On or near Panadown,E01021293,Basildon 017C,Unable to prosecute suspect
61e6ff534853d69bd735bb7467c9121d319ca5cc7165dba4fcbb3a4bab1b1728,2026-01,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
842ae4acd43fa9a0e6cd8b8079fc3748b3081910871b5fb011d30e2eb3b59de0,2026-01,Essex Police,Essex Police,0.317489,51.474668,On or near Lewes Close,E01015953,Thurrock 017C,Investigation complete; no suspect identified
196063e419721dddfb852179bb47dc29331a8911a59ef7794d218aed7826ff79,2026-01,Essex Police,Essex Police,0.326537,51.831535,On or near Owers Place,E01022096,Uttlesford 009D,Unable to prosecute suspect
c8413e415c4bad90cbe4263ffce7d11164f6b8bffd5e5593e9937169ed5d7365,2026-01,Essex Police,Essex Police,,,No location,,,Formal action is not in the public interest
fa43aa564e5a4200e10d6ccba8506d9d8e273f0f6efd414c1949d0703f46e90a,2026-01,Essex Police,Essex Police,0.626394,51.810227,On or near Snowdrop Close,E01021426,Braintree 015E,Investigation complete; no suspect identified
b4bf520ac9f961f9c390726424c3060a765772308a91ba4f170919b353929977,2026-01,Essex Police,Essex Police,0.498291,51.572300,On or near Beambridge,E01021306,Basildon 013E,Investigation complete; no suspect identified
0a807927bdfcf8ea8f136e3d66cd6d3326d5de0911307354ae73f7f217258fac,2026-01,Essex Police,Essex Police,0.030867,51.686490,On or near Theydon Court,E01021815,Epping Forest 007D,Investigation complete; no suspect identified
6be39f3a2ab06b52b7f581ea5047b3ffe96c26b87fd90ed6a78baea48ee2cc62,2026-01,Essex Police,Essex Police,0.273830,51.662982,On or near Fox Hatch,E01021444,Brentwood 001D,Unable to prosecute suspect
