Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2026-01-01T00:01:00+00:00,False,,51.731159,0.473067,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2026-01-01T00:01:00+00:00,False,,51.511422,0.423009,Male,18-24,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2026-01-01T01:01:00+00:00,False,,51.536953,0.568805,Male,,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2026-01-01T01:01:00+00:00,False,,51.542599,0.665209,Male,,Other ethnic group - Not stated,Mixed,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2026-01-01T01:01:00+00:00,False,,51.536953,0.568805,Male,,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2026-01-01T02:01:00+00:00,False,,51.544802,0.659309,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2026-01-01T02:01:00+00:00,False,,,,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2026-01-01T02:01:00+00:00,False,,51.544802,0.659309,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2026-01-01T02:01:00+00:00,False,,51.774569,0.090482,Male,,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2026-01-01T02:01:00+00:00,False,,51.774569,0.090482,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2026-01-01T02:01:00+00:00,False,,51.774569,0.090482,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2026-01-01T03:01:00+00:00,False,,51.885934,0.903247,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2026-01-01T03:01:00+00:00,False,,51.731093,0.474512,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2026-01-01T03:01:00+00:00,False,,51.818748,1.149261,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2026-01-01T03:01:00+00:00,False,,51.740280,0.500176,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2026-01-01T04:01:00+00:00,False,,51.539039,0.720007,Male,,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2026-01-01T05:01:00+00:00,False,,51.889240,0.900117,Male,,Other ethnic group - Not stated,Mixed,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2026-01-01T05:01:00+00:00,False,,51.889240,0.900117,Male,,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2026-01-01T06:01:00+00:00,False,,51.761801,0.063967,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2026-01-01T08:01:00+00:00,False,,51.888727,0.819897,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Vehicle search,2026-01-01T09:01:00+00:00,False,,51.591918,0.522527,,,,,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2026-01-01T11:01:00+00:00,False,,51.473576,0.325398,Male,18-24,Mixed/Multiple ethnic groups - White and Asian,Asian,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person and Vehicle search,2026-01-01T11:01:00+00:00,False,,51.730516,0.471570,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2026-01-01T14:01:00+00:00,False,,51.677604,-0.003667,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2026-01-01T17:01:00+00:00,False,,51.661772,0.114277,Female,25-34,Other ethnic group - Not stated,Mixed,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person and Vehicle search,2026-01-01T17:01:00+00:00,False,,51.661772,0.114277,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2026-01-01T17:01:00+00:00,False,,51.745375,0.465065,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Vehicle search,2026-01-01T17:01:00+00:00,False,,51.661772,0.114277,,,,,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2026-01-01T17:01:00+00:00,False,,51.661772,0.114277,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2026-01-01T18:01:00+00:00,False,,51.895141,0.268499,Female,over 34,White - Any other White background,Other,Police and Criminal Evidence Act 1984 (section 1),,Community resolution,,
Person search,2026-01-01T18:01:00+00:00,False,,51.562343,0.662295,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
