Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ea5fdc9268a6fa0aa99763d5deef8e8d6b6472aed99e97b26114a23aead01c4b,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.212024,51.744544,On or near Acre Street,E01022399,Stroud 006B,Suspect charged
abf361d164f23adfebd2b648f30285831ad5fdc5060708bf6f1549321f7f2705,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
b07c26c205134337d203cc132e1cdca99292f699d6cbe98fbc264cacaf8205aa,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
d38ccf825eb165c9f6cfd12a6a9ab5d7ba7166128647255e399f03bf7e6723e6,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
b7e472fcf9b5b2efe2000ec264d1e12066b8702b3eec1779ee2446d0426d34ab,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.157028,51.993993,On or near A38,E01022459,Tewkesbury 002D,Unable to prosecute suspect
ccc4bcc9b4d4f0927b52e221fbdc7227563797173f58fec08a719d21026ade52,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
2f7a6f30a3d0398ff5c46be2620dc8d5a9fbdd26cf8aad83b7edc7302b8f7cbe,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.231977,51.734823,On or near Erin Park,E01022395,Stroud 007C,Unable to prosecute suspect
08a82f3c570feb157853dc83ee59bca57c919d56cfc3d7da7107d708392f96cf,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
417b9f08d98598af67770824d4ef134fd96a79676b45c6631553c810433c7ee3,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
508893e8cac6a62fd0525b62b026895540b632d5c7d4d25cf0a83f8c05b7322b,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
ecc4d34f5a22e2d53159aae4235d3ddedcaeccfb151da622ebfac12245c8533d,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Formal action is not in the public interest
51dc3ea4f50c8585e2fb3e7f647466797fbcfa7f2ae7f1f90280835b2308baa4,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.232581,51.697472,On or near Lawnside,E01022388,Stroud 013D,Unable to prosecute suspect
ddae906ae9ed211b74c11002346cbe1313a55906303c9dc70dc799b13aee6528,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Suspect charged
5d1529ac5d3e2b8c76cf9a2ee29bb49ae9664fa5cb14bd5da4032b37ac890791,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
908b4326aabe35fbcc49a1c994984ee6b9eae7a796c1180b1729a86612b4f93f,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.212893,51.747410,On or near Lansdown,E01022414,Stroud 006E,Unable to prosecute suspect
a8fac64587f71c2fc8755eab612dc631d556f49415a53bda5f554faa6e6eb833,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
e4eef129296dad4207a6f97344bc612a7e76f245b2c600318ab2f233c6217581,2026-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
