Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2026-01-01T00:28:00+00:00,,,52.634991,-1.136050,Other,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2026-01-01T00:28:00+00:00,,,52.639223,-1.132080,Other,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-01T00:38:00+00:00,,,52.630693,-1.129885,Other,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-01T00:50:00+00:00,,,52.625906,-1.129271,Other,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-01T00:50:00+00:00,,,52.637740,-1.134563,Other,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person and Vehicle search,2026-01-01T00:55:00+00:00,,,52.633053,-1.129306,Other,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-01T01:00:00+00:00,,,,,Other,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-01T01:00:00+00:00,,,52.625500,-1.127802,Other,25-34,Other ethnic group - Any other ethnic group,Other,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,,False,False
Person search,2026-01-01T01:15:00+00:00,,,52.625374,-1.107240,Other,10-17,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Fireworks,,False,False
Person search,2026-01-01T03:45:00+00:00,,,52.639764,-1.132277,Other,18-24,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,False
Person search,2026-01-01T03:55:00+00:00,,,52.772275,-1.206887,Other,25-34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),,Arrest,False,False
Person search,2026-01-01T03:58:00+00:00,,,52.640181,-1.131588,Other,25-34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False
Person search,2026-01-01T04:00:00+00:00,,,52.639764,-1.132277,Other,25-34,Asian/Asian British - Indian,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,False
Person search,2026-01-01T08:00:00+00:00,,,52.469812,-1.199453,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Fireworks,,True,False
Person and Vehicle search,2026-01-02T00:59:00+00:00,,,52.604730,-1.123784,Other,,Other ethnic group - Any other ethnic group,Black,Misuse of Drugs Act 1971 (section 23),,,False,False
Person and Vehicle search,2026-01-02T15:05:00+00:00,,,52.631212,-1.172147,Other,over 34,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),,Arrest,False,False
Person search,2026-01-02T15:40:00+00:00,,,52.626007,-1.170856,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,2026-01-02T18:57:00+00:00,,,52.527798,-1.041987,Other,25-34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),,Arrest,True,False
Person and Vehicle search,2026-01-02T20:07:00+00:00,,,52.598497,-1.130691,Other,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-02T20:16:00+00:00,,,52.598497,-1.130691,Other,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False
Person search,2026-01-02T20:58:00+00:00,,,52.637627,-1.127782,Other,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2026-01-02T21:25:00+00:00,,,52.725733,-1.364745,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Firearms Act 1968 (section 47),Firearms,,False,False
Person search,2026-01-02T23:24:00+00:00,,,52.572489,-1.320541,Other,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person and Vehicle search,2026-01-02T23:30:00+00:00,,,52.593333,-1.087209,Other,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2026-01-02T23:40:00+00:00,,,52.633158,-1.136205,Other,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Vehicle search,2026-01-03T00:00:00+00:00,,,52.568028,-1.346383,,,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2026-01-03T00:26:00+00:00,,,52.607518,-1.103497,Other,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-03T00:35:00+00:00,,,52.607518,-1.103497,Other,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-03T00:40:00+00:00,,,52.607518,-1.103497,Other,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-03T00:47:00+00:00,,,52.651773,-1.169689,Other,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-03T02:30:00+00:00,,,52.603733,-1.153602,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False
Person search,2026-01-03T09:55:00+00:00,,,52.596264,-1.127821,Other,25-34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False
Person search,2026-01-03T12:58:00+00:00,,,52.629928,-1.122350,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,False
Person search,2026-01-03T14:10:00+00:00,,,52.604038,-1.193405,Other,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2026-01-03T16:00:00+00:00,,,52.633502,-1.131662,Other,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person and Vehicle search,2026-01-03T18:50:00+00:00,,,52.640688,-1.083046,Other,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-03T19:20:00+00:00,,,52.638358,-1.129437,Other,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,,False,False
Person search,2026-01-03T19:33:00+00:00,,,52.634675,-1.140859,Other,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,,False,False
Person search,2026-01-03T19:51:00+00:00,,,52.640318,-1.092261,Other,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),,,True,False
Person search,2026-01-03T20:20:00+00:00,,,52.619036,-1.116866,Other,25-34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person and Vehicle search,2026-01-03T21:20:00+00:00,,,52.760962,-1.532872,Other,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,Arrest,True,False
Person search,2026-01-03T21:55:00+00:00,,,52.585519,-1.101098,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False
Person search,2026-01-03T23:55:00+00:00,,,52.673870,-0.722705,Other,18-24,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),,,False,False
Person and Vehicle search,2026-01-04T00:50:00+00:00,,,52.660940,-1.155351,Other,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-04T02:29:00+00:00,,,52.557305,-1.372741,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,True,False
Person search,2026-01-04T04:00:00+00:00,,,52.631767,-1.129155,Other,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),,Arrest,False,False
Person search,2026-01-04T04:45:00+00:00,,,52.630693,-1.129885,Other,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-04T09:15:00+00:00,,,52.586073,-1.106518,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,False,False
Person search,2026-01-04T21:40:00+00:00,,,52.644361,-1.174293,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,Arrest,True,False
Person search,2026-01-04T21:40:00+00:00,,,52.644361,-1.174293,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False
Person search,2026-01-04T23:40:00+00:00,,,52.590692,-1.065564,Other,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False
Vehicle search,2026-01-05T00:00:00+00:00,,,52.661629,-1.077714,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Vehicle search,2026-01-05T00:00:00+00:00,,,52.620952,-1.154053,,,,,Misuse of Drugs Act 1971 (section 23),,,False,
Person search,2026-01-05T02:05:00+00:00,,,52.603733,-1.153602,Other,18-24,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),,,True,False
Person search,2026-01-05T15:05:00+00:00,,,52.762607,-0.892142,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-05T15:30:00+00:00,,,52.648373,-1.163102,Other,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,,False,False
Person search,2026-01-05T19:45:00+00:00,,,52.623681,-1.140941,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2026-01-05T23:37:00+00:00,,,52.594090,-1.063277,Other,over 34,Other ethnic group - Not stated,Black,,Offensive weapons,,False,False
Person search,2026-01-05T23:38:00+00:00,,,52.661629,-1.077714,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2026-01-05T23:41:00+00:00,,,52.661629,-1.077714,Other,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,True,False
Person search,2026-01-05T23:48:00+00:00,,,52.661629,-1.077714,Other,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,False,False
Person search,2026-01-05T23:51:00+00:00,,,52.661629,-1.077714,Other,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,,True,False
Person search,2026-01-05T23:55:00+00:00,,,52.661629,-1.077714,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2026-01-05T23:55:00+00:00,,,52.661629,-1.077714,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False
Person search,2026-01-06T13:33:00+00:00,,,52.642530,-1.125793,Other,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-06T18:02:00+00:00,,,52.625264,-1.140129,Other,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),,Arrest,True,False
Person search,2026-01-07T07:12:00+00:00,,,52.626257,-1.156728,Other,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,,False,False
Person search,2026-01-07T12:29:00+00:00,,,52.639155,-1.137609,Other,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False
Person search,2026-01-07T21:15:00+00:00,,,52.666337,-1.146996,Other,10-17,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False
Person and Vehicle search,2026-01-07T21:15:00+00:00,,,52.630004,-1.125348,Other,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-07T21:16:00+00:00,,,52.666337,-1.146996,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False
Person and Vehicle search,2026-01-07T21:20:00+00:00,,,52.630034,-1.124594,Other,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-07T21:28:00+00:00,,,52.600399,-1.150754,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-07T21:39:00+00:00,,,52.668738,-1.149611,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False
Person search,2026-01-07T21:45:00+00:00,,,52.665796,-1.142984,Other,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,False
Person and Vehicle search,2026-01-07T23:56:00+00:00,,,52.640594,-1.131506,Other,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,False
Person search,2026-01-08T09:19:00+00:00,,,52.622848,-1.155109,Other,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,False
Person search,2026-01-08T10:15:00+00:00,,,52.637041,-1.131222,Other,over 34,Black/African/Caribbean/Black British - African,Asian,Police and Criminal Evidence Act 1984 (section 1),,Arrest,True,False
Person search,2026-01-08T12:47:00+00:00,,,52.633502,-1.131662,Other,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,False
Person search,2026-01-08T15:38:00+00:00,,,52.631985,-1.133154,Other,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),,Arrest,False,False
Person search,2026-01-08T15:39:00+00:00,,,52.633879,-1.132821,Other,over 34,Other ethnic group - Any other ethnic group,Other,Misuse of Drugs Act 1971 (section 23),,Arrest,False,False
Person and Vehicle search,2026-01-08T16:06:00+00:00,,,52.625474,-1.295656,Other,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2026-01-08T16:49:00+00:00,,,52.777150,-0.902477,Other,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),,Arrest,False,False
Person search,2026-01-09T09:29:00+00:00,,,52.593107,-1.212266,Other,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False
Person and Vehicle search,2026-01-09T09:30:00+00:00,,,52.593107,-1.212266,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2026-01-09T17:40:00+00:00,,,52.538557,-1.373715,Other,18-24,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,False
Person search,2026-01-09T21:19:00+00:00,,,52.636041,-1.133444,Other,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2026-01-09T21:30:00+00:00,,,52.636041,-1.133444,Other,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False
Person search,2026-01-09T23:45:00+00:00,,,52.631131,-1.145568,Other,,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,False
Person and Vehicle search,2026-01-09T23:45:00+00:00,,,52.631131,-1.145568,Other,over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),,,False,False
Vehicle search,2026-01-10T00:00:00+00:00,,,52.480835,-0.923043,,,,,,,Arrest,True,
Vehicle search,2026-01-10T00:00:00+00:00,,,52.603733,-1.153602,,,,,Police and Criminal Evidence Act 1984 (section 1),,,False,
Vehicle search,2026-01-10T00:00:00+00:00,,,52.662580,-1.148385,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Vehicle search,2026-01-10T00:00:00+00:00,,,52.668418,-1.151421,,,,,,,,False,
Person search,2026-01-10T00:14:00+00:00,,,52.668418,-1.151421,Other,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2026-01-10T00:50:00+00:00,,,52.637697,-1.137297,Other,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),,,True,False
