Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Vehicle search,2026-01-01T00:39:00+00:00,,,52.504540,-2.015484,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,
Person search,2026-01-01T00:57:00+00:00,,,52.440053,-1.461466,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Vehicle search,2026-01-01T00:58:00+00:00,,,52.407271,-1.497174,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person search,2026-01-01T01:05:00+00:00,,,52.407783,-1.497242,Male,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2026-01-01T01:08:00+00:00,,,52.480882,-1.899712,Male,25-34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2026-01-01T01:08:00+00:00,,,52.480882,-1.899712,Male,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2026-01-01T01:11:00+00:00,,,52.590699,-2.048211,Female,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2026-01-01T01:13:00+00:00,,,52.590699,-2.048211,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2026-01-01T01:15:00+00:00,,,52.480882,-1.899712,Male,18-24,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Vehicle search,2026-01-01T01:18:00+00:00,,,52.480882,-1.899712,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2026-01-01T01:24:00+00:00,,,52.592930,-1.957472,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,False
Person search,2026-01-01T01:35:00+00:00,,,52.474647,-1.916964,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2026-01-01T02:00:00+00:00,,,52.477277,-1.911175,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,False
Person and Vehicle search,2026-01-01T02:00:00+00:00,,,52.477221,-1.911040,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,False
Person search,2026-01-01T02:36:00+00:00,,,52.477277,-1.911175,Male,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2026-01-01T02:41:00+00:00,,,52.405231,-1.518953,Male,25-34,,Asian,Psychoactive Substances Act 2016 (s36(2)),Psychoactive substances,,,False
Person search,2026-01-01T02:42:00+00:00,,,52.479469,-1.909213,Male,18-24,,Asian,Police and Criminal Evidence Act 1984 (section 1),Fireworks,Arrest,,False
Person search,2026-01-01T02:56:00+00:00,,,52.489480,-2.026480,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,False
Person search,2026-01-01T02:59:00+00:00,,,52.476286,-1.907732,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2026-01-01T03:54:00+00:00,,,52.472895,-1.895079,Male,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,False
Person search,2026-01-01T03:54:00+00:00,,,52.472895,-1.895079,Male,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Vehicle search,2026-01-01T03:54:00+00:00,,,52.472895,-1.895079,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2026-01-01T03:59:00+00:00,,,52.499560,-1.820714,Male,over 34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,False
Person search,2026-01-01T04:37:00+00:00,,,52.476073,-1.912532,Male,25-34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,False
